Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,71.7,143.5,53.0,2.3,4.1
20101002,69.6,144.0,53.0,3.5,4.6
20101003,71.4,145.0,53.2,3.8,4.8
20101004,73.2,143.7,53.0,3.2,3.6
20101005,72.8,143.9,53.2,3.9,3.1
20101006,69.3,143.6,52.9,2.7,4.8
20101007,74.0,143.1,52.9,3.8,2.4
20101008,73.2,141.9,53.0,5.4,4.6
20101009,73.0,143.5,52.8,2.3,4.3
20101010,70.7,143.7,53.3,3.4,4.8
20101011,72.6,144.3,52.7,2.7,6.2
20101012,72.2,143.2,53.1,3.2,3.6
20101013,72.4,142.0,52.8,3.6,4.2
20101014,74.5,145.0,53.2,2.0,4.6
20101015,72.1,144.0,52.7,3.7,3.7
20101016,70.7,144.6,53.1,4.1,3.9
20101017,73.0,143.5,52.9,3.2,3.8
20101018,71.7,141.9,52.8,3.4,3.8
20101019,71.7,144.0,53.1,2.4,3.4
20101020,74.1,141.6,53.1,4.0,3.1
20101021,72.4,142.0,52.9,5.4,3.2
20101022,75.7,144.0,53.0,2.9,3.8
20101023,79.9,147.0,53.0,6.1,5.1
20101024,72.7,144.6,53.1,3.9,4.1
20101025,72.7,141.8,53.0,2.5,3.0
20101026,71.2,143.6,53.1,4.5,4.3
20101027,73.3,142.8,52.8,3.4,4.8
20101028,73.7,141.9,52.8,4.4,5.2
20101029,72.7,144.1,53.1,3.2,3.0
20101030,75.5,143.2,53.0,3.7,3.4
20101031,72.3,142.6,53.2,5.1,5.6
20101101,72.6,144.0,53.1,2.8,3.6
20101102,93.5,177.4,53.4,5.7,6.9
20101103,122.2,203.5,53.2,4.8,4.6
20101104,138.3,209.8,52.8,3.1,4.0
20101105,135.2,206.1,52.9,5.0,6.3
20101106,149.9,222.8,53.1,6.3,7.9
20101107,160.4,229.1,53.0,4.2,4.2
20101108,156.9,226.0,53.2,6.6,5.8
20101109,150.8,213.9,53.0,6.4,5.6
20101110,114.7,180.8,53.0,4.5,4.8
20101111,133.9,207.5,53.1,4.8,7.1
20101112,110.9,175.7,52.9,5.8,4.6
20101113,121.2,189.6,52.9,4.5,6.5
20101114,143.8,210.5,53.1,3.9,5.1
20101115,136.5,204.9,52.9,4.7,4.5
20101116,116.4,188.9,53.1,3.4,3.3
20101117,123.3,193.1,52.9,4.0,4.2
20101118,138.7,205.5,53.1,7.0,9.3
20101119,174.6,236.8,53.0,2.7,3.9
20101120,175.3,232.6,53.4,3.4,2.9
20101121,174.8,236.3,52.9,3.1,4.1
20101122,185.5,242.1,53.1,3.1,3.5
20101123,187.5,242.0,53.2,4.2,6.2
20101124,184.2,243.7,53.1,2.9,3.5
20101125,191.6,243.0,53.1,2.6,3.1
20101126,185.3,244.4,53.4,5.4,4.5
20101127,190.1,243.2,53.1,3.1,2.5
20101128,187.8,241.3,53.1,4.3,3.1
20101129,188.0,239.8,53.0,4.6,3.2
20101130,197.9,241.0,53.1,3.4,5.4
20101201,205.4,245.3,53.0,3.6,2.3
20101202,208.0,248.4,53.1,4.5,3.2
20101203,205.0,245.1,53.3,4.4,3.2
20101204,202.9,249.9,53.3,2.9,3.5
20101205,208.1,247.1,53.1,4.5,2.9
20101206,206.7,247.2,53.0,5.1,4.0
20101207,214.1,251.0,53.1,3.4,3.0
20101208,nan,nan,nan,nan,nan
20101209,211.0,250.2,54.0,1.4,0.9
20101210,220.2,250.9,52.9,3.4,3.1
20101211,220.3,251.4,52.7,4.1,3.6
20101212,220.4,248.5,52.8,6.1,4.6
20101213,222.7,251.2,53.1,3.4,4.2
20101214,225.6,252.5,53.2,2.3,4.5
20101215,231.9,251.3,52.6,3.7,2.9
20101216,224.4,250.6,52.7,2.6,2.8
20101217,221.4,250.6,53.0,3.0,3.7
20101218,222.2,250.5,53.0,4.4,2.8
20101219,228.6,255.6,52.5,4.6,2.0
20101220,226.1,252.2,53.1,4.0,3.1
20101221,227.3,252.8,53.2,2.4,6.0
20101222,225.5,252.9,53.2,4.2,3.7
20101223,226.8,251.4,52.9,3.0,2.7
20101224,225.4,249.2,53.1,5.4,3.7
20101225,227.7,249.8,53.1,3.5,3.8
20101226,228.7,249.3,53.2,2.1,3.3
