Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,75.7,142.0,53.0,4.2,5.0
20101002,75.9,143.6,53.0,4.3,5.6
20101003,74.6,141.3,53.0,4.4,5.6
20101004,70.1,146.0,53.0,3.9,5.4
20101005,72.6,144.8,53.0,3.3,3.8
20101006,72.5,142.7,53.0,3.7,5.3
20101007,74.7,144.7,53.0,3.7,6.4
20101008,73.6,140.4,53.0,4.5,5.8
20101009,71.7,142.5,53.0,5.2,5.2
20101010,74.4,145.7,53.0,3.9,4.1
20101011,75.0,143.0,53.0,5.2,5.5
20101012,74.9,146.0,53.0,4.7,5.7
20101013,72.6,140.2,53.0,4.7,6.0
20101014,71.7,142.8,53.0,5.4,5.2
20101015,76.1,145.9,53.0,3.7,6.0
20101016,74.8,140.6,53.0,4.3,5.1
20101017,72.7,142.7,53.0,3.4,5.8
20101018,73.3,141.7,53.0,4.4,4.8
20101019,74.4,144.1,53.0,4.7,5.8
20101020,77.1,144.0,53.0,3.6,5.7
20101021,75.4,144.7,53.0,3.8,6.4
20101022,74.7,142.7,53.0,4.5,5.5
20101023,74.4,142.8,53.0,4.7,4.3
20101024,75.0,142.0,53.0,4.7,5.0
20101025,72.1,144.2,53.0,3.9,6.6
20101026,74.0,143.4,53.0,4.7,6.1
20101027,71.4,142.6,53.0,4.4,5.5
20101028,74.9,145.4,53.0,4.5,6.1
20101029,73.0,144.9,53.0,3.5,5.6
20101030,72.9,142.5,53.0,4.2,5.5
20101031,73.2,141.2,53.0,4.5,5.1
20101101,72.7,140.9,53.0,4.1,5.2
20101102,75.3,147.9,53.0,4.1,6.3
20101103,72.5,142.0,53.0,3.7,5.6
20101104,72.4,143.1,53.0,3.5,5.2
20101105,75.0,147.0,53.0,3.9,5.5
20101106,75.8,144.8,53.0,4.6,5.3
20101107,73.4,144.9,53.0,4.8,7.0
20101108,73.8,143.4,53.0,3.6,6.5
20101109,73.1,142.4,53.0,4.7,5.4
20101110,71.0,143.7,53.0,4.1,4.1
20101111,76.3,141.4,53.0,3.2,4.6
20101112,78.5,145.4,53.0,3.3,5.4
20101113,77.2,141.7,53.0,5.4,4.9
20101114,74.4,141.7,53.0,2.7,4.4
20101115,71.7,148.8,53.0,3.4,6.3
20101116,73.0,143.7,53.0,3.6,5.3
20101117,73.1,144.6,53.0,4.4,5.1
20101118,77.6,147.9,53.0,5.4,8.0
20101119,74.9,143.7,53.0,5.0,4.6
20101120,74.0,143.9,53.0,4.2,4.7
20101121,74.1,143.4,53.0,4.1,5.9
20101122,72.4,144.2,53.0,4.0,4.6
20101123,76.4,142.2,53.0,4.4,4.4
20101124,74.7,143.3,53.0,4.5,6.0
20101125,76.7,150.1,53.0,3.8,6.8
20101126,77.2,151.9,53.0,4.2,7.6
20101127,73.1,144.4,53.0,4.2,6.4
20101128,76.1,152.8,53.0,4.5,10.4
20101129,81.2,152.0,53.0,3.6,7.0
20101130,80.0,149.8,53.0,4.2,6.8
20101201,77.0,151.0,53.0,3.4,7.5
20101202,75.1,145.5,53.0,4.1,5.3
20101203,87.0,156.8,53.0,4.1,7.5
20101204,118.9,192.2,53.0,4.2,6.0
20101205,118.3,189.4,53.0,4.2,4.2
20101206,97.5,169.6,53.0,5.7,5.6
20101207,99.2,176.1,53.0,2.7,4.2
20101208,nan,nan,nan,nan,nan
20101209,118.2,196.1,53.0,4.1,4.5
20101210,123.0,204.8,53.0,5.6,4.4
20101211,129.7,202.4,53.0,5.3,5.8
20101212,121.5,191.7,53.0,4.5,5.6
20101213,134.0,202.3,53.0,5.5,4.0
20101214,145.6,204.4,53.0,5.1,5.1
20101215,166.0,229.8,53.0,5.5,5.2
20101216,186.7,239.4,53.0,5.1,4.9
20101217,187.9,247.0,53.0,4.2,3.9
20101218,191.9,246.4,53.0,4.1,3.9
20101219,186.3,245.5,53.0,4.0,4.5
20101220,182.6,243.7,53.0,6.0,5.5
20101221,183.6,244.1,53.0,4.1,4.3
20101222,180.7,243.5,53.0,3.9,3.6
20101223,179.5,239.8,53.0,5.0,5.3
20101224,184.1,239.0,53.0,5.5,5.3
20101225,nan,nan,nan,nan,nan
20101226,211.6,248.4,53.0,5.1,5.6
