Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,77.2,143.4,53.1,2.7,2.4
20101002,74.7,142.9,53.2,4.5,3.0
20101003,73.5,142.8,52.9,2.7,4.6
20101004,77.2,143.1,53.1,2.3,5.5
20101005,74.5,141.9,53.0,3.0,4.7
20101006,71.9,140.4,52.6,3.7,3.2
20101007,73.1,142.3,53.1,3.5,3.5
20101008,71.9,142.7,53.3,2.6,5.8
20101009,78.4,143.7,53.1,4.5,4.5
20101010,74.1,144.5,53.1,3.2,4.4
20101011,72.7,143.0,52.7,3.9,5.0
20101012,75.6,143.5,52.7,4.4,4.2
20101013,75.0,143.1,52.6,2.6,3.2
20101014,80.9,144.2,53.1,1.8,3.5
20101015,78.0,143.5,52.9,4.0,4.3
20101016,75.6,144.1,52.5,4.2,5.6
20101017,73.0,141.8,52.8,2.5,2.7
20101018,75.1,143.5,52.9,3.5,4.1
20101019,76.3,143.7,52.7,4.3,4.6
20101020,74.2,142.3,53.0,2.9,2.7
20101021,74.0,144.1,53.0,3.7,4.5
20101022,77.9,146.7,53.3,3.1,4.6
20101023,73.9,141.2,53.1,3.8,3.7
20101024,73.8,141.8,52.5,2.0,4.6
20101025,75.1,140.5,52.9,3.2,3.5
20101026,74.1,141.7,53.0,3.5,3.5
20101027,75.7,145.2,53.0,3.4,3.6
20101028,74.2,141.1,52.8,3.6,3.7
20101029,73.8,144.2,52.8,3.0,4.3
20101030,74.7,143.0,52.8,4.8,5.7
20101031,71.2,141.0,52.9,4.0,4.3
20101101,73.5,143.3,53.1,2.2,4.3
20101102,73.8,141.6,52.9,5.2,3.2
20101103,73.2,142.2,52.4,3.6,5.7
20101104,74.1,144.5,53.0,4.2,2.6
20101105,71.0,142.3,53.0,3.6,3.8
20101106,78.9,146.7,53.0,3.3,5.7
20101107,76.2,145.3,52.6,3.5,3.9
20101108,94.6,173.9,52.9,5.1,4.6
20101109,96.1,164.3,53.0,2.6,5.7
20101110,97.5,164.6,52.9,4.5,4.6
20101111,97.9,167.5,52.7,4.5,4.7
20101112,90.9,160.0,52.9,5.3,5.1
20101113,83.3,153.1,53.0,4.9,4.3
20101114,78.0,149.0,54.0,3.3,1.4
20101115,76.0,144.9,53.0,4.5,4.1
20101116,90.2,164.6,52.4,4.8,13.0
20101117,109.4,177.0,52.5,4.1,3.2
20101118,141.2,201.9,53.0,4.4,4.2
20101119,161.4,221.6,52.9,4.4,3.7
20101120,162.2,224.4,52.8,4.4,4.8
20101121,178.8,233.8,52.7,2.8,4.8
20101122,nan,nan,nan,nan,nan
20101123,182.8,241.2,52.8,3.8,5.6
20101124,188.1,245.3,52.7,3.6,3.9
20101125,184.2,243.7,52.8,4.0,3.6
20101126,180.2,241.9,53.0,3.2,4.8
20101127,186.5,246.0,53.1,3.0,3.5
20101128,178.7,239.5,52.8,4.1,3.9
20101129,177.2,239.6,52.7,3.6,4.2
20101130,184.1,243.0,53.0,5.5,4.0
20101201,184.0,245.4,52.7,5.7,5.0
20101202,184.4,248.5,52.6,4.2,4.2
20101203,181.7,244.8,52.9,4.7,2.1
20101204,181.9,247.1,52.5,3.2,2.4
20101205,186.7,242.5,52.2,5.8,2.8
20101206,190.3,237.4,53.0,4.0,3.8
20101207,193.8,238.2,53.0,4.5,2.6
20101208,171.7,224.7,53.0,4.2,4.2
20101209,nan,nan,nan,nan,nan
20101210,185.2,232.5,52.9,4.5,3.3
20101211,192.5,235.3,52.9,3.7,4.0
20101212,196.9,235.0,52.8,3.9,3.8
20101213,199.0,237.1,52.9,5.5,4.9
20101214,198.7,245.2,52.8,3.9,4.1
20101215,189.0,233.1,53.4,3.2,1.4
20101216,177.8,224.2,52.8,4.1,3.6
20101217,199.2,243.4,52.9,4.0,3.7
20101218,202.2,243.7,53.0,3.9,4.2
20101219,204.9,243.3,53.0,3.8,4.1
20101220,214.9,249.7,52.9,3.1,2.1
20101221,213.8,250.2,52.9,3.5,3.5
20101222,221.1,253.2,53.1,2.8,3.4
20101223,220.0,250.7,52.9,4.5,4.3
20101224,218.6,250.0,53.1,4.6,4.2
20101225,226.5,253.0,52.7,3.7,2.1
20101226,220.4,249.9,52.9,3.5,3.5
