Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,77.5,141.3,51.1,6.3,3.2
20101002,75.3,140.0,52.8,3.0,2.7
20101003,70.9,139.2,52.1,1.3,3.1
20101004,76.3,143.5,52.7,2.1,3.4
20101005,75.6,145.6,53.0,3.4,5.2
20101006,69.4,142.3,52.9,4.1,4.8
20101007,73.1,140.4,52.5,2.4,3.1
20101008,70.3,143.7,52.7,5.2,4.1
20101009,83.3,142.5,52.4,22.3,4.9
20101010,72.9,142.5,52.7,3.8,4.2
20101011,74.5,139.2,52.1,1.7,0.9
20101012,74.3,142.3,53.1,3.3,3.6
20101013,74.0,143.1,53.0,2.5,3.2
20101014,77.5,145.3,52.3,1.7,4.3
20101015,79.9,146.6,53.0,2.9,3.2
20101016,71.8,142.1,52.7,2.5,3.1
20101017,nan,nan,nan,nan,nan
20101018,73.9,142.4,53.1,2.6,2.5
20101019,75.5,143.9,52.2,4.3,3.4
20101020,74.8,140.8,53.6,2.9,3.3
20101021,nan,nan,nan,nan,nan
20101022,73.7,146.6,52.7,4.3,3.1
20101023,75.6,142.9,53.0,4.2,3.9
20101024,72.0,146.7,52.5,3.4,3.7
20101025,73.3,138.2,52.5,3.5,2.7
20101026,73.9,141.8,51.9,1.2,1.9
20101027,73.2,145.0,53.0,4.1,6.3
20101028,67.7,138.9,53.7,2.7,4.8
20101029,71.7,142.6,53.1,2.6,1.2
20101030,71.0,143.8,52.9,2.4,4.4
20101031,72.3,141.6,52.9,3.9,4.8
20101101,69.8,141.2,52.8,4.5,4.1
20101102,74.1,144.0,53.5,4.9,2.9
20101103,73.6,141.6,53.6,0.4,1.7
20101104,75.4,142.8,53.1,4.2,5.2
20101105,71.1,139.9,53.1,3.0,4.0
20101106,69.4,140.5,52.9,3.6,3.4
20101107,74.0,142.9,52.8,5.6,4.8
20101108,74.0,143.0,52.8,3.6,2.9
20101109,70.0,141.8,52.7,4.5,3.4
20101110,71.8,141.6,53.1,4.2,3.4
20101111,69.6,147.7,53.8,2.9,2.2
20101112,73.8,143.8,53.3,3.1,4.3
20101113,73.0,142.4,52.1,2.7,1.5
20101114,75.0,147.4,54.1,9.5,2.5
20101115,75.5,141.2,52.9,6.1,4.3
20101116,71.2,145.1,52.9,1.4,0.6
20101117,78.5,143.1,52.9,4.8,3.5
20101118,74.1,145.2,52.8,3.7,3.3
20101119,71.4,142.7,53.0,4.0,3.0
20101120,75.3,146.2,53.8,5.2,2.7
20101121,nan,nan,nan,nan,nan
20101122,71.5,149.8,54.5,2.3,1.3
20101123,72.9,139.8,52.6,3.2,3.2
20101124,66.1,142.7,52.9,1.6,2.4
20101125,72.7,144.8,53.0,4.0,4.9
20101126,69.7,140.5,53.2,1.1,2.9
20101127,71.2,143.9,52.7,5.3,3.1
20101128,74.3,142.8,52.9,3.8,5.1
20101129,73.8,143.7,52.9,2.9,5.1
20101130,75.8,143.3,52.6,3.1,4.8
20101201,81.9,152.8,52.8,1.9,3.3
20101202,101.7,167.2,52.8,3.7,4.9
20101203,120.0,189.6,52.5,3.3,3.9
20101204,116.1,184.6,54.3,2.0,0.9
20101205,77.6,144.9,53.1,2.8,5.7
20101206,72.5,141.3,52.4,4.2,5.4
20101207,71.7,142.0,52.7,4.1,2.6
20101208,75.1,144.5,53.1,2.1,3.4
20101209,70.0,142.1,54.0,2.6,3.0
20101210,75.1,143.4,53.1,7.2,3.8
20101211,73.6,143.5,53.3,3.2,3.8
20101212,79.4,143.8,52.5,5.0,3.8
20101213,90.7,160.1,52.6,3.7,4.4
20101214,106.6,171.8,52.6,1.3,0.1
20101215,71.9,144.3,53.0,4.4,3.6
20101216,68.8,142.8,53.2,5.2,3.3
20101217,73.0,140.6,51.9,4.3,2.4
20101218,76.4,151.6,52.8,6.2,7.4
20101219,71.3,145.9,52.8,3.3,3.7
20101220,83.5,152.8,52.8,10.9,4.7
20101221,100.0,171.5,52.9,10.0,6.9
20101222,136.5,195.2,51.2,0.0,0.0
20101223,152.3,214.7,53.0,4.5,2.3
20101224,165.2,222.0,53.1,6.9,5.9
20101225,182.8,231.1,53.0,6.1,3.5
20101226,194.3,241.0,52.9,4.8,3.6
