Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,76.3,140.6,52.4,4.3,3.8
20101002,73.5,142.6,53.0,2.7,5.6
20101003,72.5,147.7,53.2,2.5,4.4
20101004,72.5,143.3,53.0,3.5,3.5
20101005,73.0,141.0,53.0,3.3,4.7
20101006,75.2,144.9,52.9,3.1,4.0
20101007,72.1,143.3,52.5,3.8,4.0
20101008,74.7,144.8,53.1,3.4,3.5
20101009,74.3,142.8,53.4,3.5,3.4
20101010,72.3,142.5,52.8,2.5,5.5
20101011,75.8,143.0,53.0,3.9,2.9
20101012,72.9,143.5,53.1,2.7,4.9
20101013,73.3,145.1,53.2,3.2,3.9
20101014,78.4,142.1,53.0,2.4,3.5
20101015,73.0,144.0,53.1,3.4,4.1
20101016,74.0,143.1,52.9,4.2,3.3
20101017,73.4,144.3,53.2,2.3,4.8
20101018,71.6,141.8,52.8,3.5,5.8
20101019,75.9,141.8,52.7,2.9,2.8
20101020,71.6,139.1,53.0,4.6,6.2
20101021,74.1,144.8,53.0,3.7,3.6
20101022,77.3,142.6,52.8,2.0,2.8
20101023,73.0,146.0,52.7,1.7,3.2
20101024,75.3,145.2,52.8,3.9,4.6
20101025,72.7,141.5,53.4,2.6,5.6
20101026,70.3,143.4,53.0,3.0,3.3
20101027,72.0,141.4,53.1,4.3,3.5
20101028,70.9,138.2,52.0,2.1,4.7
20101029,75.9,145.3,53.0,4.0,2.9
20101030,71.9,140.8,53.0,4.0,4.4
20101031,72.1,144.5,53.1,2.3,4.9
20101101,73.6,143.3,53.1,4.9,3.8
20101102,70.8,145.3,53.0,3.7,5.6
20101103,73.7,144.2,53.1,3.9,5.2
20101104,74.4,145.2,52.9,5.5,5.8
20101105,73.2,147.6,53.1,3.2,7.2
20101106,84.4,152.9,52.8,3.3,3.5
20101107,88.7,157.0,53.0,5.2,4.6
20101108,104.0,182.8,53.0,2.5,4.8
20101109,80.3,147.4,52.9,2.1,4.3
20101110,87.7,156.7,53.0,5.7,5.5
20101111,120.8,193.4,53.1,4.6,4.5
20101112,82.0,151.4,53.0,3.8,5.0
20101113,76.4,150.5,53.0,3.5,4.2
20101114,78.7,146.0,53.0,4.4,3.9
20101115,72.7,144.1,53.0,4.3,4.6
20101116,75.7,148.9,53.0,3.6,2.7
20101117,85.4,164.2,53.1,3.3,6.4
20101118,107.9,192.3,53.2,4.0,3.0
20101119,137.6,208.2,52.9,4.1,3.4
20101120,146.0,218.4,52.6,6.5,7.6
20101121,150.8,218.5,52.9,6.9,5.8
20101122,159.6,225.0,52.9,4.4,2.5
20101123,179.3,235.8,53.1,4.4,5.4
20101124,190.0,239.0,52.9,3.8,2.2
20101125,192.7,238.5,52.9,3.3,4.9
20101126,192.2,238.1,52.3,4.4,3.1
20101127,187.4,240.8,53.0,4.6,3.3
20101128,186.8,237.3,53.0,4.0,6.1
20101129,214.5,243.2,53.1,3.7,3.0
20101130,209.8,244.4,53.3,4.0,4.0
20101201,215.9,250.6,52.9,2.5,3.0
20101202,215.7,245.1,52.9,3.3,2.4
20101203,205.4,238.8,53.1,2.9,4.7
20101204,216.9,249.5,53.0,2.7,3.9
20101205,210.5,245.1,53.2,3.8,3.5
20101206,205.3,249.2,52.8,3.2,2.7
20101207,205.3,248.5,52.9,5.7,3.5
20101208,204.2,246.1,53.2,3.6,3.8
20101209,nan,nan,nan,nan,nan
20101210,199.9,241.6,52.9,5.0,3.9
20101211,182.1,233.0,52.8,6.7,8.8
20101212,113.4,178.7,53.1,5.7,6.4
20101213,106.0,173.7,52.9,4.6,7.0
20101214,144.8,201.2,52.8,6.2,6.0
20101215,158.7,216.5,52.6,5.8,3.1
20101216,154.7,215.7,53.2,2.6,2.5
20101217,178.6,232.0,53.0,5.0,2.8
20101218,179.0,234.6,52.8,5.5,5.5
20101219,185.8,234.5,53.1,5.2,3.4
20101220,203.0,241.4,52.7,5.5,2.2
20101221,204.7,244.3,53.0,3.8,3.9
20101222,217.7,250.3,52.7,2.8,3.3
20101223,212.4,246.2,53.0,5.5,4.2
20101224,212.3,248.5,53.0,3.8,3.7
20101225,218.1,249.4,52.9,3.9,3.2
20101226,213.7,250.7,53.3,5.8,3.3
