Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,72.9,145.0,53.0,4.2,5.7
20101002,72.2,142.2,53.0,4.1,5.1
20101003,71.5,142.7,53.0,3.9,3.9
20101004,74.8,144.5,53.0,4.6,6.0
20101005,72.2,143.1,53.0,4.1,5.5
20101006,74.4,144.7,53.0,4.1,5.7
20101007,74.5,143.2,53.0,4.0,3.8
20101008,74.1,142.9,53.0,3.8,5.2
20101009,72.9,144.5,53.0,4.4,6.5
20101010,71.8,141.9,53.0,3.8,3.9
20101011,72.6,145.6,53.0,4.1,5.9
20101012,76.1,147.2,53.0,3.8,5.7
20101013,78.1,145.2,53.0,4.4,5.4
20101014,77.8,148.7,53.0,4.6,5.6
20101015,73.1,143.7,53.0,4.1,4.4
20101016,73.9,143.5,53.0,4.3,5.5
20101017,75.4,143.5,53.0,4.0,5.0
20101018,74.7,143.4,53.0,4.2,5.5
20101019,74.2,144.3,53.0,4.2,5.4
20101020,74.5,142.9,53.0,5.3,4.7
20101021,74.2,144.8,53.0,4.6,6.4
20101022,79.2,146.9,53.0,4.1,5.0
20101023,83.6,151.9,53.0,3.8,5.5
20101024,103.6,181.2,53.0,4.3,4.4
20101025,108.5,184.3,53.0,4.2,4.5
20101026,105.3,180.3,53.0,4.0,4.6
20101027,114.1,192.2,53.0,4.2,4.9
20101028,142.8,212.9,53.0,4.5,4.3
20101029,167.1,233.3,53.0,4.4,4.3
20101030,157.3,220.2,53.0,5.8,4.8
20101031,157.0,220.1,53.0,4.3,4.0
20101101,165.6,228.8,53.0,4.7,5.3
20101102,175.8,234.8,53.0,4.7,5.9
20101103,180.3,237.1,53.0,4.7,4.4
20101104,191.2,243.4,53.0,4.5,4.3
20101105,199.7,245.9,53.0,4.9,4.3
20101106,193.4,242.6,53.0,5.4,5.1
20101107,189.1,241.6,53.0,3.9,4.2
20101108,193.1,242.9,53.0,4.4,4.1
20101109,192.4,241.6,53.0,4.9,4.1
20101110,196.5,239.0,53.0,4.2,3.9
20101111,201.0,244.5,53.0,4.2,3.8
20101112,197.2,238.5,53.0,4.7,4.2
20101113,209.2,247.5,53.0,5.1,4.1
20101114,213.9,250.7,53.0,4.4,4.3
20101115,217.6,250.1,53.0,3.9,4.0
20101116,220.9,252.9,53.0,4.6,4.1
20101117,221.6,252.0,53.0,5.1,4.6
20101118,221.1,250.4,53.0,4.1,5.9
20101119,218.0,251.6,53.0,3.8,3.8
20101120,214.6,246.0,53.0,4.6,4.3
20101121,210.2,245.9,53.0,4.5,4.7
20101122,215.0,248.8,53.0,4.5,4.2
20101123,215.2,248.8,53.0,4.6,4.1
20101124,211.1,248.0,53.0,4.3,3.9
20101125,211.0,243.6,53.0,4.1,4.5
20101126,208.9,246.8,53.0,4.4,4.2
20101127,211.2,246.8,53.0,4.7,4.7
20101128,210.3,245.4,53.0,4.9,4.2
20101129,213.6,249.7,53.0,3.8,4.2
20101130,215.8,242.4,53.0,4.3,4.3
20101201,213.2,246.1,53.0,4.8,4.2
20101202,211.0,246.4,53.0,4.9,3.9
20101203,213.9,244.6,53.0,4.8,4.5
20101204,218.0,252.1,53.0,4.4,4.0
20101205,218.2,248.9,53.0,3.9,3.9
20101206,218.5,249.3,53.0,4.4,3.7
20101207,217.0,250.7,53.0,5.1,3.9
20101208,nan,nan,nan,nan,nan
20101209,217.9,250.8,53.0,4.6,4.2
20101210,218.4,249.7,53.0,4.6,3.9
20101211,218.9,249.1,53.0,4.4,4.1
20101212,208.3,245.9,53.0,4.6,4.1
20101213,203.0,241.0,53.0,3.9,3.5
20101214,204.1,246.8,53.0,4.6,4.2
20101215,203.0,247.1,53.0,4.3,4.0
20101216,204.2,247.1,53.0,3.9,3.9
20101217,201.3,248.4,53.0,4.5,4.4
20101218,201.8,247.0,53.0,3.6,3.8
20101219,204.9,246.9,53.0,4.4,4.6
20101220,212.3,248.2,53.0,4.8,4.3
20101221,208.0,246.3,53.0,3.9,4.0
20101222,210.2,248.3,53.0,4.1,4.1
20101223,214.2,248.1,53.0,4.3,3.8
20101224,214.4,247.8,53.0,4.5,3.9
20101225,nan,nan,nan,nan,nan
20101226,213.6,246.2,53.0,3.9,3.7
