Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,71.9,142.1,53.3,2.8,2.8
20101002,72.4,142.5,53.0,1.2,5.0
20101003,74.6,151.9,54.0,2.5,3.3
20101004,71.8,142.8,52.7,3.7,3.8
20101005,69.4,149.0,53.7,3.4,5.2
20101006,72.9,145.4,53.2,2.5,2.3
20101007,74.3,144.8,52.4,3.7,2.7
20101008,75.8,142.7,52.9,5.0,3.6
20101009,74.8,145.1,52.7,2.2,2.6
20101010,73.7,152.3,53.6,0.7,0.0
20101011,73.0,143.1,53.0,3.2,1.6
20101012,78.0,150.5,53.0,2.9,1.9
20101013,78.0,143.5,52.8,2.2,3.8
20101014,76.2,143.8,52.9,3.2,1.8
20101015,76.6,146.9,52.9,2.3,3.2
20101016,71.7,143.5,53.0,1.4,5.7
20101017,75.5,145.3,53.3,3.2,5.8
20101018,74.5,144.8,53.2,2.2,2.0
20101019,67.4,144.3,54.8,0.0,0.2
20101020,73.8,145.4,53.7,1.5,2.9
20101021,74.3,145.6,53.1,3.0,5.3
20101022,74.6,144.0,52.5,3.1,4.1
20101023,71.8,143.0,53.5,3.0,6.1
20101024,73.0,145.1,53.1,2.4,2.4
20101025,74.8,150.1,54.1,1.9,1.2
20101026,76.5,143.0,54.1,1.1,5.8
20101027,73.3,143.9,52.9,2.3,3.4
20101028,77.6,147.6,53.5,5.2,3.6
20101029,73.9,141.0,53.0,3.6,4.6
20101030,77.3,146.6,53.0,1.9,4.3
20101031,75.5,141.6,53.1,3.0,5.1
20101101,73.2,142.6,53.4,4.4,5.3
20101102,75.2,143.7,51.3,6.3,4.6
20101103,70.6,140.4,53.0,3.2,3.1
20101104,75.6,141.6,53.2,0.9,2.1
20101105,78.6,142.3,52.9,2.8,3.1
20101106,73.8,142.9,53.3,4.4,4.4
20101107,67.2,143.4,53.4,3.0,4.3
20101108,71.5,144.5,53.1,2.8,4.6
20101109,77.2,141.0,52.7,4.3,3.3
20101110,74.8,144.7,52.9,5.3,4.8
20101111,72.7,144.1,53.3,3.1,3.4
20101112,75.4,148.5,53.0,3.1,4.9
20101113,74.9,143.9,53.0,3.2,2.2
20101114,75.2,139.8,51.3,0.8,0.3
20101115,71.6,147.6,53.0,5.3,4.6
20101116,71.0,144.4,53.1,1.2,1.4
20101117,74.4,140.4,51.7,2.2,1.1
20101118,72.1,136.2,51.1,0.0,0.0
20101119,80.2,147.8,52.5,3.0,4.6
20101120,98.5,166.8,52.6,3.2,0.2
20101121,102.4,188.2,53.6,1.0,0.8
20101122,113.0,201.4,54.9,0.0,0.0
20101123,142.2,215.8,52.7,4.8,3.4
20101124,140.0,220.3,53.1,2.6,3.1
20101125,139.7,221.2,53.1,3.4,3.8
20101126,136.1,221.1,53.1,3.2,3.2
20101127,148.3,227.8,53.1,6.3,1.7
20101128,144.4,222.4,53.1,5.0,6.9
20101129,145.5,225.6,53.1,5.3,1.9
20101130,131.9,219.1,53.7,2.1,3.1
20101201,161.8,228.4,53.6,3.1,4.1
20101202,160.9,224.3,53.1,3.3,0.4
20101203,177.8,232.6,53.9,0.6,0.1
20101204,196.4,246.9,51.9,4.1,2.4
20101205,187.1,246.9,54.2,1.6,4.3
20101206,186.6,243.3,52.6,2.0,0.2
20101207,nan,nan,nan,nan,nan
20101208,185.4,244.9,53.0,3.0,5.0
20101209,190.0,244.4,52.9,3.0,2.8
20101210,199.2,246.9,53.8,2.7,2.4
20101211,198.6,246.5,53.0,3.2,3.0
20101212,204.8,244.3,52.9,3.2,1.8
20101213,218.5,247.7,53.0,3.6,2.1
20101214,212.9,252.6,53.2,4.1,1.3
20101215,221.5,255.4,51.7,0.3,2.6
20101216,216.9,249.8,53.4,5.6,2.0
20101217,219.9,254.7,53.0,1.0,0.8
20101218,213.0,251.9,54.9,1.0,1.7
20101219,219.3,256.0,52.4,1.8,3.7
20101220,222.5,254.9,53.5,1.1,0.7
20101221,221.2,253.0,53.1,2.6,4.9
20101222,216.9,254.2,53.1,4.4,2.0
20101223,220.4,252.1,53.0,4.5,3.8
20101224,228.7,253.0,52.7,5.0,3.5
20101225,222.2,251.9,52.9,2.6,4.5
20101226,234.2,258.9,53.1,2.8,4.3
