Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,71.5,141.3,53.0,3.9,3.5
20101002,72.3,142.5,53.0,3.8,5.8
20101003,75.0,143.1,53.0,3.6,5.6
20101004,74.4,141.5,53.0,4.5,5.4
20101005,72.7,144.0,53.0,4.2,5.7
20101006,73.8,142.8,53.0,4.2,5.4
20101007,71.8,143.0,53.0,3.8,5.5
20101008,74.9,143.7,53.0,3.9,6.4
20101009,74.4,141.5,53.0,4.3,5.0
20101010,72.3,142.4,53.0,3.7,5.7
20101011,74.0,142.6,53.0,4.0,5.2
20101012,73.6,142.1,53.0,3.7,5.1
20101013,74.2,144.4,53.0,4.3,5.9
20101014,75.1,142.7,53.0,4.3,6.0
20101015,71.6,141.8,53.0,4.2,4.4
20101016,73.7,141.9,53.0,4.1,5.3
20101017,74.5,142.2,53.0,4.2,4.1
20101018,70.8,143.3,53.0,5.0,5.9
20101019,74.3,141.6,53.0,4.2,4.1
20101020,73.0,141.5,53.0,3.9,5.2
20101021,74.2,142.1,53.0,4.2,5.6
20101022,76.3,142.0,53.0,4.4,5.3
20101023,74.6,144.0,53.0,4.1,5.4
20101024,75.0,142.4,53.0,4.2,5.5
20101025,71.2,141.7,53.0,4.1,5.0
20101026,73.4,140.9,53.0,4.1,4.1
20101027,73.0,140.4,53.0,5.0,4.1
20101028,71.5,141.2,53.0,4.1,5.1
20101029,75.0,143.7,53.0,4.0,5.5
20101030,72.4,140.6,53.0,4.2,3.9
20101031,72.7,142.3,53.0,3.4,5.0
20101101,74.2,141.2,53.0,4.8,5.1
20101102,70.4,140.5,53.0,4.5,4.7
20101103,73.4,144.3,53.0,4.5,5.9
20101104,74.2,146.6,53.0,4.5,6.0
20101105,73.5,144.8,53.0,4.1,5.4
20101106,81.5,152.0,53.0,4.6,6.5
20101107,84.0,154.8,53.0,3.8,5.8
20101108,99.7,174.1,53.0,4.5,5.2
20101109,82.4,151.1,53.0,5.1,5.3
20101110,83.8,153.2,53.0,5.1,6.5
20101111,115.3,189.6,53.0,5.7,5.8
20101112,81.3,150.6,53.0,4.5,6.0
20101113,76.1,146.1,53.0,4.4,7.0
20101114,76.4,147.1,53.0,4.5,5.4
20101115,72.2,145.0,53.0,4.5,4.6
20101116,74.7,146.1,53.0,4.2,5.3
20101117,85.5,165.1,53.0,3.8,5.3
20101118,104.6,183.2,53.0,4.8,4.2
20101119,134.8,208.3,53.0,4.6,4.1
20101120,147.4,219.6,53.0,5.1,4.4
20101121,153.2,220.5,53.0,4.7,4.5
20101122,162.4,222.0,53.0,5.1,4.9
20101123,179.5,233.6,53.0,4.8,4.3
20101124,187.4,237.9,53.0,4.4,3.6
20101125,196.1,238.9,53.0,4.2,3.8
20101126,191.8,237.7,53.0,4.9,4.2
20101127,193.8,240.0,53.0,5.0,4.5
20101128,190.7,237.7,53.0,4.5,4.4
20101129,208.8,242.6,53.0,5.8,4.2
20101130,210.1,240.6,53.0,4.9,4.8
20101201,217.3,246.6,53.0,4.6,4.1
20101202,217.2,247.4,53.0,4.3,4.2
20101203,209.6,243.1,53.0,5.1,4.3
20101204,215.8,247.8,53.0,4.0,4.0
20101205,215.2,246.8,53.0,4.0,4.5
20101206,211.6,246.2,53.0,4.4,4.2
20101207,208.9,247.0,53.0,6.1,4.3
20101208,nan,nan,nan,nan,nan
20101209,202.8,242.0,53.0,4.3,3.8
20101210,201.4,241.0,53.0,4.6,4.1
20101211,192.5,235.3,53.0,5.1,4.6
20101212,119.1,179.1,53.0,4.1,5.3
20101213,106.1,171.3,53.0,4.1,7.3
20101214,135.4,193.1,53.0,4.9,5.0
20101215,158.2,211.7,53.0,5.3,5.1
20101216,154.1,209.6,53.0,4.4,4.6
20101217,169.6,223.4,53.0,4.7,4.3
20101218,182.9,235.3,53.0,5.1,4.6
20101219,184.5,229.0,53.0,4.8,4.7
20101220,201.5,240.2,53.0,4.6,3.9
20101221,204.5,241.8,53.0,5.0,4.4
20101222,217.0,246.9,53.0,4.4,3.9
20101223,216.4,246.0,53.0,4.3,4.2
20101224,217.4,247.3,53.0,4.3,3.9
20101225,nan,nan,nan,nan,nan
20101226,214.8,245.9,53.0,4.6,4.1
