region1,region2,region3,region4,region5,region6,region7,region8,region9,region10
0.0,53.264214,64.32355,53.74032,66.768486,71.65779,64.8174,46.854576,35.46358,21.931322
0.0,54.481823,65.199486,54.710136,67.66258,72.58106,65.74212,47.762478,36.346634,23.055864
0.0,55.78167,65.91498,55.313175,68.27471,73.29516,66.36022,48.173653,36.807117,23.68984
0.0,57.029507,66.79473,56.083714,68.92846,73.97694,66.907776,48.68479,37.34281,24.4132
0.0,57.445953,67.50915,57.20689,69.99942,75.018,67.837685,49.563744,38.044678,25.236
0.0,57.77483,68.21813,58.471428,71.23156,76.15286,68.916504,50.60326,38.739304,25.936735
0.0,58.42306,69.14405,59.853745,72.523094,77.324455,69.915405,51.604633,39.4959,26.827803
0.0,58.87796,69.70812,60.8157,73.54528,78.35725,70.92271,52.522156,40.24084,27.696217
0.0,59.951645,70.60332,61.735638,74.32009,79.1124,71.52007,52.973106,40.694836,28.185272
10.448429,61.569233,71.96949,63.155205,75.49445,80.16411,72.32636,53.894276,40.94562,28.49255
14.980801,62.91596,73.08849,64.35563,76.52993,81.11554,73.58072,55.35724,42.023983,29.686243
17.897564,63.923664,73.82974,65.09536,77.20554,81.80528,74.27443,56.12837,42.912735,30.739122
19.70832,64.7119,74.657524,66.20553,78.29917,82.8824,75.39543,57.274685,43.66228,31.582438
22.531506,66.06287,76.01285,67.7401,79.59806,84.0089,76.63074,58.819946,44.838947,32.861977
25.53686,67.546844,77.36106,69.170525,80.808876,85.08014,77.75253,60.27544,46.376675,34.611664
28.892206,69.16787,78.6563,70.52113,82.00669,86.20641,78.90564,61.632572,47.667805,35.957047
32.324123,70.98507,80.11175,71.909035,83.17654,87.28113,80.062546,63.005226,49.075653,37.49219
35.52438,72.747925,81.54437,73.341255,84.43391,88.481155,81.39389,64.47733,50.72597,39.275013
37.86686,74.208206,82.8971,74.78353,85.71375,89.69072,82.71663,66.04189,52.297794,40.855904
39.700077,75.43149,84.260796,76.38468,87.099434,90.89111,83.90345,67.344215,52.596973,41.062225
41.755657,76.65695,85.373314,77.62154,88.2395,92.00839,84.521324,67.870346,52.7249,41.170246
