Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,73.2,146.9,53.0,3.3,4.0
20101002,73.2,145.6,53.1,5.4,4.0
20101003,74.7,146.2,53.1,3.6,4.0
20101004,76.4,147.2,53.0,3.3,4.4
20101005,75.1,150.3,53.8,3.6,3.3
20101006,71.1,145.9,53.1,3.5,3.9
20101007,73.7,146.8,52.5,2.3,4.2
20101008,76.8,148.6,52.7,4.1,5.3
20101009,77.1,147.2,53.4,2.0,3.5
20101010,76.1,145.3,52.0,1.6,1.6
20101011,71.6,145.5,53.0,2.9,3.4
20101012,74.7,147.6,53.0,5.0,4.8
20101013,78.1,148.1,53.0,3.8,4.0
20101014,73.9,144.5,53.1,3.4,5.3
20101015,74.3,146.2,53.1,3.7,3.6
20101016,73.8,145.1,53.1,3.3,4.6
20101017,71.8,145.2,53.1,3.5,3.2
20101018,73.9,144.7,53.0,3.9,4.2
20101019,70.7,141.7,53.1,2.6,4.9
20101020,72.9,144.6,53.0,4.0,4.8
20101021,71.5,141.7,52.3,2.8,5.6
20101022,78.9,147.1,53.2,3.0,4.1
20101023,78.4,144.3,53.4,6.0,2.6
20101024,70.7,144.8,53.3,2.0,5.1
20101025,72.6,143.4,52.6,2.5,2.7
20101026,75.5,141.1,53.0,4.9,4.4
20101027,71.0,142.1,53.2,5.3,3.9
20101028,73.2,143.9,53.1,1.9,1.6
20101029,70.1,144.7,53.1,2.8,5.2
20101030,70.8,144.0,52.7,5.0,2.9
20101031,75.3,144.9,53.0,4.5,5.8
20101101,72.4,142.8,53.1,4.1,2.6
20101102,76.7,145.7,53.0,1.5,5.1
20101103,72.2,141.8,53.3,2.8,3.7
20101104,74.2,146.0,53.2,4.3,5.6
20101105,75.1,144.4,52.5,2.6,3.7
20101106,73.4,144.1,53.2,3.8,4.4
20101107,76.8,145.3,53.2,3.1,3.1
20101108,73.5,143.3,53.2,7.0,5.7
20101109,77.2,145.2,53.0,5.8,4.6
20101110,72.5,144.2,53.1,4.2,2.7
20101111,72.7,146.2,53.0,4.0,4.1
20101112,96.7,166.8,53.1,9.5,9.8
20101113,115.5,184.1,53.0,7.3,5.7
20101114,153.4,220.7,54.2,9.4,7.2
20101115,168.0,236.1,52.9,3.7,5.5
20101116,156.4,226.9,53.3,6.6,7.6
20101117,151.0,217.9,52.6,5.7,2.8
20101118,158.7,223.6,52.7,5.3,2.4
20101119,178.7,230.9,52.7,6.5,4.0
20101120,188.2,241.8,53.7,6.3,1.7
20101121,196.5,245.4,52.4,3.7,3.1
20101122,202.3,250.3,53.2,4.4,3.9
20101123,216.2,252.4,52.9,4.7,5.1
20101124,215.3,249.7,53.1,3.8,5.6
20101125,220.1,254.1,53.1,5.4,3.6
20101126,213.1,250.1,53.0,4.4,2.9
20101127,219.0,251.7,53.2,4.3,3.7
20101128,222.2,250.4,52.8,4.2,3.1
20101129,214.3,251.4,53.0,3.1,4.7
20101130,205.0,246.9,54.0,5.5,3.7
20101201,216.9,251.6,53.0,2.9,5.2
20101202,217.8,249.9,53.0,2.5,3.9
20101203,nan,nan,nan,nan,nan
20101204,219.6,252.0,52.9,3.6,3.2
20101205,223.7,252.4,53.3,1.4,3.5
20101206,219.5,257.0,53.9,2.2,1.9
20101207,216.0,252.9,53.0,4.0,4.5
20101208,nan,nan,nan,nan,nan
20101209,210.1,247.4,53.1,2.2,3.3
20101210,212.3,248.8,53.1,3.4,2.9
20101211,216.5,252.6,53.1,4.4,3.1
20101212,192.6,236.5,53.0,3.7,3.0
20101213,183.2,231.7,53.1,6.0,1.9
20101214,182.3,230.8,53.1,6.3,4.8
20101215,204.8,247.8,53.2,7.5,2.6
20101216,214.2,249.9,53.3,2.9,1.7
20101217,208.7,252.0,52.8,1.9,3.1
20101218,215.3,251.0,53.0,3.3,2.5
20101219,213.7,252.3,53.0,3.0,4.6
20101220,215.3,249.4,52.8,4.0,4.1
20101221,219.4,250.9,53.3,5.1,4.3
20101222,212.4,251.0,53.0,4.1,3.2
20101223,217.8,249.2,53.0,3.7,2.3
20101224,221.5,250.8,53.0,4.7,4.8
20101225,218.2,248.2,53.0,6.6,7.9
20101226,221.5,251.2,53.1,3.6,3.7
