Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,73.2,143.2,52.4,3.5,5.1
20101002,74.2,141.8,52.8,2.9,4.6
20101003,70.8,141.8,53.1,2.1,4.0
20101004,74.2,144.2,53.1,2.3,3.6
20101005,69.6,143.6,53.1,6.1,5.7
20101006,69.4,141.4,53.0,3.4,3.9
20101007,72.6,140.2,52.3,2.3,3.0
20101008,69.4,144.8,53.1,3.1,4.5
20101009,81.4,141.6,52.4,22.4,5.1
20101010,73.1,143.4,53.1,3.6,4.4
20101011,75.3,139.5,52.1,1.7,1.1
20101012,73.6,143.0,52.8,3.8,3.6
20101013,73.0,143.4,53.1,3.6,3.7
20101014,75.5,147.3,53.0,4.7,3.9
20101015,79.2,146.1,53.0,4.6,3.7
20101016,71.9,142.5,53.1,2.6,3.8
20101017,73.6,142.8,53.1,4.7,2.9
20101018,71.3,142.5,53.2,4.2,5.2
20101019,72.6,141.4,52.2,5.0,3.5
20101020,74.1,141.4,53.6,3.2,3.6
20101021,73.6,143.3,52.6,2.9,3.2
20101022,72.0,145.4,52.6,6.1,3.8
20101023,69.2,142.0,53.1,5.1,5.3
20101024,71.7,145.6,52.8,3.5,4.1
20101025,73.0,138.8,52.4,4.3,3.2
20101026,71.9,143.8,53.0,3.5,3.5
20101027,71.5,144.8,52.9,4.1,6.1
20101028,66.9,139.1,53.2,4.0,4.9
20101029,70.3,143.3,53.1,2.8,4.0
20101030,70.4,142.2,53.0,2.7,4.7
20101031,70.4,140.6,53.1,4.6,5.4
20101101,69.7,141.0,52.9,4.9,4.0
20101102,72.6,142.5,53.2,3.9,2.8
20101103,73.6,141.4,53.6,0.4,1.9
20101104,73.8,142.2,53.1,4.3,4.8
20101105,69.3,140.6,53.1,3.5,4.0
20101106,65.3,137.5,52.9,5.1,3.5
20101107,73.0,141.8,52.9,4.7,4.0
20101108,72.8,141.2,52.5,3.2,3.6
20101109,70.0,142.2,53.3,4.7,3.6
20101110,68.0,141.0,53.0,4.9,10.7
20101111,70.2,144.0,53.1,3.6,4.0
20101112,73.6,142.0,53.2,2.4,4.6
20101113,72.8,141.9,52.3,2.7,1.7
20101114,73.6,148.3,54.1,9.3,2.5
20101115,73.0,141.7,53.1,6.0,4.5
20101116,70.4,145.6,53.4,3.2,3.3
20101117,77.7,143.3,53.0,4.2,3.4
20101118,72.0,145.0,53.0,5.2,3.3
20101119,69.6,142.7,53.3,5.6,4.2
20101120,73.8,145.4,53.4,4.0,2.6
20101121,68.3,146.2,53.3,4.4,1.8
20101122,74.4,145.9,53.2,2.0,3.5
20101123,72.0,140.7,53.0,3.3,2.9
20101124,66.7,142.7,53.1,4.1,2.3
20101125,73.4,144.4,53.2,4.3,4.9
20101126,71.0,141.2,53.2,1.4,4.1
20101127,70.7,144.9,52.8,4.6,4.1
20101128,72.1,142.4,53.0,3.9,6.1
20101129,74.1,144.0,53.0,2.8,5.4
20101130,76.8,145.4,52.9,3.9,5.9
20101201,81.8,152.9,53.1,2.8,2.5
20101202,100.8,167.1,52.8,3.7,4.6
20101203,119.2,188.3,52.5,3.2,3.9
20101204,117.2,184.6,54.3,1.9,1.0
20101205,78.0,144.6,53.1,3.3,5.8
20101206,72.5,143.4,53.1,6.0,6.6
20101207,72.3,142.1,52.9,4.5,3.3
20101208,nan,nan,nan,nan,nan
20101209,71.1,138.3,53.1,2.5,5.0
20101210,74.8,142.9,53.0,6.8,3.6
20101211,72.7,142.4,53.5,3.3,4.2
20101212,77.7,143.4,52.6,4.7,4.0
20101213,90.8,159.8,52.9,2.9,4.1
20101214,107.6,171.9,52.6,1.1,0.1
20101215,71.1,143.7,53.0,4.7,3.7
20101216,66.6,143.4,53.2,5.3,5.1
20101217,73.3,140.5,52.2,4.3,2.1
20101218,75.7,150.6,52.8,6.3,7.5
20101219,71.5,145.3,52.8,3.4,3.4
20101220,82.4,152.9,52.9,10.6,4.7
20101221,99.3,170.7,52.9,9.9,7.0
20101222,132.0,202.7,53.6,4.3,4.9
20101223,153.5,214.7,52.9,5.5,2.7
20101224,163.1,219.6,53.3,6.7,7.2
20101225,181.5,231.0,53.0,6.6,3.6
20101226,194.4,240.3,52.9,4.2,3.7
