Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,73.4,144.4,53.0,3.2,4.9
20101002,71.8,143.1,53.0,2.7,4.4
20101003,74.1,145.3,52.9,2.8,4.2
20101004,74.4,145.4,52.9,3.6,4.8
20101005,73.7,143.6,53.0,2.6,3.4
20101006,79.3,143.6,52.9,20.1,3.8
20101007,71.1,142.1,53.1,2.7,5.3
20101008,73.1,142.6,52.8,2.7,3.5
20101009,73.4,142.4,53.0,3.8,4.4
20101010,73.9,142.0,52.9,2.9,4.7
20101011,77.2,142.4,53.0,16.5,6.3
20101012,74.3,145.4,53.1,2.7,4.2
20101013,73.7,146.6,53.3,4.4,5.2
20101014,75.2,149.1,53.8,3.4,2.1
20101015,74.9,143.1,52.8,3.5,4.4
20101016,76.5,144.7,52.9,3.3,3.3
20101017,71.8,143.5,53.2,3.5,3.6
20101018,72.6,143.4,52.9,4.2,3.7
20101019,74.0,141.6,52.7,3.9,4.4
20101020,71.3,143.7,53.1,4.6,3.4
20101021,74.7,144.2,53.0,3.8,4.0
20101022,75.1,144.6,52.9,2.9,3.3
20101023,73.2,144.9,53.3,3.5,4.1
20101024,77.4,142.9,53.0,17.0,4.9
20101025,70.9,142.3,53.1,3.2,3.2
20101026,70.8,143.7,53.1,3.5,3.1
20101027,73.2,143.2,52.9,3.3,4.3
20101028,69.7,140.8,53.1,2.7,3.8
20101029,71.9,142.9,53.0,4.7,3.5
20101030,71.7,144.3,53.1,3.6,3.6
20101031,73.0,143.0,53.0,3.6,3.2
20101101,79.0,152.3,53.0,5.7,6.9
20101102,107.3,191.6,53.2,5.3,4.8
20101103,127.4,200.1,52.9,4.7,2.6
20101104,134.2,212.3,52.9,4.6,8.2
20101105,133.5,214.3,52.9,4.1,4.7
20101106,143.7,223.4,52.9,7.4,4.6
20101107,146.9,227.5,53.2,3.8,3.4
20101108,160.2,233.2,52.8,4.0,4.4
20101109,157.3,224.7,53.1,5.0,3.6
20101110,165.1,231.3,53.1,4.8,3.1
20101111,170.1,235.5,52.9,3.2,4.6
20101112,162.9,232.4,53.3,4.2,2.6
20101113,169.1,230.5,53.2,5.7,3.6
20101114,146.7,212.2,53.0,4.6,3.0
20101115,134.8,198.6,53.0,3.4,3.4
20101116,153.2,214.6,52.9,10.6,10.2
20101117,177.9,238.5,52.9,2.3,4.2
20101118,189.7,240.3,53.1,4.2,3.1
20101119,195.1,243.9,53.1,3.9,4.3
20101120,191.8,246.1,53.1,3.7,3.0
20101121,200.7,246.3,53.3,6.4,3.0
20101122,201.6,247.3,53.0,3.8,2.9
20101123,205.1,247.6,53.0,3.3,4.1
20101124,208.3,244.3,53.1,5.0,4.2
20101125,206.3,247.3,53.0,3.7,4.4
20101126,211.8,247.9,52.9,5.8,3.7
20101127,206.2,248.5,53.0,3.3,5.2
20101128,203.4,247.2,53.0,3.9,4.8
20101129,199.5,242.8,52.9,6.9,4.0
20101130,195.5,247.7,52.8,3.4,3.7
20101201,197.0,247.4,53.1,3.6,4.2
20101202,199.6,248.5,52.8,4.4,3.4
20101203,198.2,246.3,52.9,5.5,3.1
20101204,202.1,249.3,53.3,6.2,4.9
20101205,202.1,247.0,53.0,4.2,3.1
20101206,213.5,244.1,53.1,4.0,3.8
20101207,214.6,244.1,53.0,4.3,4.5
20101208,nan,nan,nan,nan,nan
20101209,218.3,247.3,53.2,2.8,4.4
20101210,218.3,250.5,53.0,4.4,5.2
20101211,222.0,248.4,53.0,4.3,3.6
20101212,213.2,247.4,52.9,4.9,2.6
20101213,209.4,247.2,53.1,4.3,3.9
20101214,214.2,250.1,52.7,4.2,4.3
20101215,207.7,245.7,53.0,3.5,4.3
20101216,212.7,247.6,53.1,3.7,3.3
20101217,219.5,250.5,53.0,7.1,4.9
20101218,208.6,249.8,53.0,4.6,2.3
20101219,221.2,249.5,52.8,2.7,2.6
20101220,223.7,252.8,53.3,3.8,4.4
20101221,224.7,254.1,53.2,3.9,3.8
20101222,222.9,254.3,52.8,3.5,3.2
20101223,222.6,255.2,53.0,2.9,2.8
20101224,226.0,252.1,52.9,3.4,2.5
20101225,228.1,255.2,52.7,5.7,3.1
20101226,219.9,250.8,53.1,4.7,2.9
