Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,72.1,143.7,53.0,2.3,2.7
20101002,73.0,142.7,53.0,2.2,2.5
20101003,75.0,146.9,52.8,3.1,4.1
20101004,75.8,145.5,53.0,3.2,3.3
20101005,74.3,143.8,53.1,2.6,3.3
20101006,79.9,144.9,53.0,16.5,3.1
20101007,71.3,141.3,53.0,2.4,4.5
20101008,74.7,143.4,52.9,1.7,2.2
20101009,75.6,142.3,53.0,3.3,4.6
20101010,73.9,144.2,53.0,3.3,3.2
20101011,74.2,142.4,53.1,3.6,3.1
20101012,75.3,144.5,53.0,2.4,3.2
20101013,74.2,144.8,53.0,4.2,4.6
20101014,76.9,147.9,53.3,3.8,1.1
20101015,76.5,145.4,52.8,2.4,4.4
20101016,76.4,144.2,53.1,3.3,3.2
20101017,73.0,142.8,53.1,3.5,4.6
20101018,72.1,143.8,53.1,2.7,3.4
20101019,74.5,141.7,52.9,4.0,3.1
20101020,73.2,144.8,53.0,1.3,3.1
20101021,74.8,145.4,53.0,2.5,2.1
20101022,76.1,145.2,53.1,1.7,3.1
20101023,75.6,144.8,53.1,3.2,2.8
20101024,76.8,144.0,53.1,12.2,5.9
20101025,72.3,142.1,53.1,2.4,2.7
20101026,70.0,142.8,53.0,2.2,0.9
20101027,74.4,142.5,52.9,3.0,3.7
20101028,68.2,140.3,53.0,1.7,3.2
20101029,72.7,144.7,53.1,5.4,1.7
20101030,73.2,143.9,52.9,3.3,2.5
20101031,72.5,144.1,52.9,3.7,2.5
20101101,77.8,149.5,52.9,5.8,5.7
20101102,109.1,192.8,53.0,5.0,4.3
20101103,129.6,200.3,53.1,5.9,2.2
20101104,134.8,214.5,52.9,4.1,7.7
20101105,133.4,215.0,53.0,3.3,3.2
20101106,146.1,224.4,53.0,5.8,2.7
20101107,147.0,226.4,53.0,2.8,2.7
20101108,159.8,233.8,52.9,3.6,5.1
20101109,158.7,225.5,52.9,3.7,3.8
20101110,166.7,231.4,53.0,3.1,2.7
20101111,173.0,235.3,53.0,2.2,5.5
20101112,164.0,232.3,53.0,2.7,2.7
20101113,170.9,230.1,53.0,4.5,1.8
20101114,147.4,212.2,53.0,2.7,1.6
20101115,135.5,199.2,53.0,2.0,2.2
20101116,155.8,219.3,53.0,4.6,4.9
20101117,179.4,237.2,52.9,2.2,3.2
20101118,190.4,240.2,52.8,4.1,2.9
20101119,195.4,245.2,53.0,2.9,3.2
20101120,192.4,248.0,53.0,3.3,2.8
20101121,199.5,246.6,52.9,1.0,2.4
20101122,202.2,247.2,52.9,3.7,1.4
20101123,206.4,247.5,53.0,1.6,3.9
20101124,207.8,243.8,53.0,4.3,3.7
20101125,206.8,247.1,53.0,3.7,4.7
20101126,208.6,247.2,52.8,4.3,2.0
20101127,205.4,248.9,53.0,2.7,5.3
20101128,203.3,246.4,53.1,2.6,4.4
20101129,201.1,244.1,52.9,7.4,1.5
20101130,196.1,247.3,52.9,3.7,3.9
20101201,197.6,248.0,53.2,2.2,3.8
20101202,200.8,249.8,52.8,4.0,3.1
20101203,198.7,247.9,53.1,5.4,1.4
20101204,202.5,250.8,53.3,5.5,3.8
20101205,202.9,246.9,53.0,2.5,1.9
20101206,214.0,243.4,53.0,3.4,4.1
20101207,214.3,245.1,53.0,4.1,4.6
20101208,216.8,247.5,52.9,3.0,3.4
20101209,nan,nan,nan,nan,nan
20101210,219.0,249.9,53.0,4.5,5.8
20101211,223.5,248.3,52.9,3.6,2.7
20101212,213.0,248.4,52.9,3.5,2.9
20101213,209.2,248.8,53.1,3.6,2.5
20101214,214.3,249.0,53.3,4.3,1.6
20101215,207.0,246.0,53.0,3.3,5.1
20101216,213.0,247.7,53.2,3.1,3.5
20101217,220.9,251.4,52.9,8.0,2.2
20101218,207.4,248.9,53.1,4.1,2.5
20101219,220.6,248.2,52.9,1.8,1.3
20101220,225.2,252.3,53.0,1.2,5.5
20101221,225.0,254.5,53.1,4.3,3.1
20101222,223.3,255.0,53.0,3.4,3.3
20101223,222.9,256.3,52.9,2.3,2.3
20101224,226.9,251.9,53.0,3.8,2.8
20101225,227.1,254.4,53.0,6.5,1.6
20101226,220.4,250.7,53.0,3.3,2.3
