Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,76.8,143.0,53.1,2.7,2.7
20101002,73.2,143.1,53.2,4.1,3.0
20101003,71.5,143.1,52.8,2.6,4.4
20101004,77.4,143.7,53.1,2.7,5.4
20101005,72.6,142.6,53.0,2.8,4.4
20101006,70.7,141.4,53.0,3.4,3.9
20101007,70.4,142.5,53.0,3.2,3.4
20101008,69.8,143.1,52.9,4.5,4.4
20101009,77.9,143.0,52.7,4.6,3.5
20101010,72.4,144.6,52.9,3.3,4.4
20101011,70.7,141.3,52.7,2.9,6.0
20101012,75.0,143.1,52.7,3.6,3.8
20101013,72.6,143.5,52.7,3.4,3.1
20101014,80.5,144.4,53.1,3.4,2.7
20101015,76.5,143.5,52.9,4.2,4.2
20101016,72.9,143.9,52.5,5.1,5.3
20101017,71.0,142.7,52.8,3.7,3.5
20101018,71.9,142.8,53.1,3.8,4.1
20101019,76.0,143.2,52.7,4.1,4.0
20101020,71.2,142.5,53.0,3.2,3.1
20101021,71.2,143.4,53.1,4.1,4.5
20101022,77.3,145.0,53.0,2.9,4.0
20101023,71.5,140.4,53.0,4.3,4.5
20101024,72.3,142.1,52.8,3.4,4.3
20101025,72.0,141.4,52.9,3.0,4.3
20101026,71.4,141.2,53.0,4.8,3.6
20101027,75.6,143.9,53.0,3.4,3.6
20101028,71.5,141.0,52.8,4.7,3.9
20101029,70.2,142.4,53.0,2.8,4.5
20101030,73.5,142.1,52.8,4.2,5.3
20101031,69.1,141.0,53.0,3.9,4.3
20101101,73.8,142.6,53.0,2.8,3.9
20101102,71.2,141.2,52.9,5.1,4.0
20101103,70.9,141.3,52.4,4.5,5.6
20101104,73.0,143.4,52.9,3.9,3.1
20101105,69.0,141.0,52.8,3.8,4.2
20101106,78.4,146.9,53.2,3.7,5.1
20101107,73.9,145.9,52.8,3.7,5.1
20101108,92.2,173.7,52.9,6.0,4.8
20101109,95.5,163.2,53.0,2.9,4.9
20101110,95.3,164.2,53.0,4.2,4.6
20101111,99.0,168.0,52.5,6.3,5.3
20101112,88.4,159.4,52.8,4.7,5.4
20101113,81.0,153.0,53.0,4.7,5.1
20101114,77.3,146.1,53.0,3.4,2.6
20101115,74.2,144.7,52.9,4.3,4.1
20101116,87.6,167.0,53.0,5.4,13.3
20101117,107.6,176.5,52.5,4.4,3.0
20101118,138.9,202.2,53.1,4.6,4.2
20101119,161.7,220.4,53.0,4.2,3.3
20101120,160.9,224.5,52.8,4.8,4.9
20101121,177.0,232.8,52.7,3.3,4.7
20101122,175.8,236.7,53.5,3.8,0.2
20101123,180.5,240.4,52.9,4.3,5.9
20101124,188.2,244.6,52.7,3.9,3.6
20101125,183.3,243.6,52.8,4.6,3.5
20101126,179.9,241.7,53.1,4.6,4.1
20101127,186.6,244.9,53.0,2.9,3.6
20101128,177.5,239.3,52.8,3.9,3.7
20101129,177.3,239.2,52.7,3.5,3.7
20101130,182.3,243.7,53.0,6.6,3.8
20101201,183.4,245.2,52.8,6.2,4.2
20101202,185.5,247.2,52.5,4.2,3.8
20101203,179.9,244.6,52.9,5.1,2.1
20101204,180.9,246.4,52.7,3.3,2.2
20101205,185.7,242.2,52.5,6.3,2.7
20101206,188.5,237.8,52.9,4.1,4.1
20101207,194.2,237.4,53.0,5.0,2.6
20101208,nan,nan,nan,nan,nan
20101209,165.7,213.2,52.0,1.6,4.8
20101210,185.1,231.6,52.8,4.4,2.9
20101211,190.8,234.9,53.0,3.9,4.0
20101212,197.6,234.8,52.9,4.2,3.7
20101213,198.2,237.3,52.9,6.3,5.3
20101214,197.1,245.0,52.9,4.9,3.9
20101215,189.9,231.8,53.2,3.7,2.1
20101216,175.8,224.3,53.0,4.2,3.7
20101217,198.9,243.3,53.1,4.6,3.5
20101218,200.6,243.1,53.0,3.5,4.4
20101219,203.6,243.0,53.0,4.8,4.1
20101220,215.7,248.8,52.7,3.3,1.9
20101221,212.9,250.0,52.9,4.0,3.4
20101222,220.8,252.3,53.1,2.8,3.4
20101223,219.4,250.1,52.9,5.2,4.3
20101224,218.0,250.4,53.0,5.1,4.0
20101225,227.2,252.2,52.7,4.3,2.1
20101226,219.6,249.7,52.9,3.4,3.5
