Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,78.0,142.8,53.0,4.4,4.6
20101002,72.5,146.5,53.1,3.1,3.9
20101003,74.0,148.7,53.0,3.9,3.2
20101004,73.9,145.3,52.9,2.6,4.4
20101005,69.7,144.4,53.2,5.2,4.6
20101006,74.6,144.6,52.9,4.0,3.0
20101007,71.5,143.5,53.0,2.7,2.9
20101008,76.9,147.7,53.1,2.3,3.4
20101009,71.3,142.3,53.2,2.8,4.5
20101010,72.0,148.8,53.3,1.6,5.9
20101011,80.6,162.4,52.8,3.2,5.7
20101012,90.6,173.9,53.0,2.6,3.3
20101013,80.5,149.9,53.1,4.0,3.2
20101014,80.8,147.6,53.2,1.7,4.2
20101015,71.8,147.9,53.0,3.3,4.2
20101016,73.9,145.7,53.0,3.3,4.7
20101017,73.1,144.7,53.1,2.9,2.9
20101018,73.2,144.1,53.2,3.6,4.3
20101019,77.3,144.7,52.9,5.1,4.8
20101020,75.3,152.3,52.9,2.6,4.5
20101021,89.5,166.1,53.0,6.4,9.8
20101022,92.4,171.3,52.9,2.8,1.9
20101023,97.4,175.6,53.0,4.2,4.8
20101024,114.0,188.2,53.0,7.2,6.5
20101025,101.3,178.6,52.9,3.9,3.4
20101026,105.3,183.9,53.2,3.3,4.9
20101027,117.4,192.8,53.2,11.1,9.0
20101028,139.3,215.4,53.3,5.4,5.5
20101029,167.9,234.7,52.8,6.4,5.2
20101030,131.3,202.8,53.1,4.6,4.8
20101031,140.5,211.1,52.9,5.2,4.2
20101101,146.6,212.6,53.3,6.5,4.5
20101102,157.5,227.2,52.9,5.2,3.4
20101103,172.7,237.7,52.8,5.2,3.9
20101104,186.7,238.9,53.0,5.7,3.2
20101105,204.3,247.6,52.9,3.8,4.0
20101106,194.8,243.9,53.0,3.1,2.9
20101107,197.7,250.5,53.0,1.6,3.5
20101108,200.6,250.3,52.9,5.8,4.6
20101109,191.0,244.6,53.1,5.0,3.3
20101110,196.3,245.8,53.1,4.5,4.9
20101111,194.7,242.6,52.7,5.0,4.1
20101112,204.9,251.4,53.0,4.4,2.6
20101113,207.9,252.6,53.1,3.7,3.4
20101114,206.3,252.2,53.0,3.6,3.4
20101115,202.0,254.2,53.2,4.1,4.2
20101116,205.0,255.5,52.6,5.5,4.6
20101117,206.0,252.9,52.9,4.8,2.5
20101118,208.6,251.8,53.2,3.1,3.4
20101119,203.0,250.4,53.2,3.5,3.0
20101120,202.9,250.3,52.9,4.6,2.2
20101121,195.7,251.4,53.2,5.9,4.0
20101122,203.2,250.2,52.8,4.4,1.9
20101123,200.3,250.7,53.3,4.1,3.3
20101124,199.7,249.5,52.9,3.3,2.9
20101125,196.1,247.6,53.0,2.3,3.2
20101126,200.7,249.9,52.8,2.7,3.2
20101127,201.4,247.6,53.4,2.6,1.8
20101128,205.8,245.7,53.3,4.7,5.0
20101129,212.0,249.8,53.1,4.4,3.3
20101130,209.7,252.1,53.0,2.2,3.4
20101201,206.1,244.2,53.0,3.1,2.0
20101202,201.8,243.7,52.9,5.3,5.3
20101203,205.1,248.2,52.8,2.7,4.4
20101204,209.8,250.7,53.0,4.3,3.4
20101205,210.8,248.2,53.0,4.6,3.5
20101206,214.4,250.2,52.8,2.8,4.2
20101207,214.1,250.0,53.0,2.6,3.3
20101208,nan,nan,nan,nan,nan
20101209,211.8,251.2,53.1,2.0,3.8
20101210,212.1,251.7,53.1,2.6,3.2
20101211,212.9,253.4,53.2,3.3,3.5
20101212,215.2,251.0,53.0,3.4,3.5
20101213,207.8,247.6,53.0,4.6,2.8
20101214,214.1,252.5,53.0,4.0,4.0
20101215,209.5,251.0,53.2,3.4,3.8
20101216,202.8,249.3,53.2,3.6,3.4
20101217,211.6,253.9,52.8,3.8,3.7
20101218,206.5,250.1,52.3,2.9,2.3
20101219,210.8,253.6,52.8,2.5,3.5
20101220,215.1,250.1,53.1,3.5,3.0
20101221,218.3,255.0,53.2,3.3,5.7
20101222,228.9,256.6,52.9,3.5,2.5
20101223,226.1,253.6,53.0,3.0,2.7
20101224,232.1,257.8,53.0,3.2,4.2
20101225,227.2,252.6,53.0,4.0,3.3
20101226,226.1,254.6,53.0,4.1,4.0
