Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,73.5,141.8,53.0,4.4,5.2
20101002,72.4,142.4,53.0,3.8,5.6
20101003,74.2,143.3,53.0,3.7,5.6
20101004,73.3,143.7,53.0,3.8,6.2
20101005,72.5,143.4,53.0,4.2,5.5
20101006,72.0,141.8,53.0,4.3,5.0
20101007,71.6,142.3,53.0,3.6,5.3
20101008,70.9,142.3,53.0,4.3,5.2
20101009,73.9,143.5,53.0,4.2,5.7
20101010,74.0,143.1,53.0,3.7,5.6
20101011,73.6,141.7,53.0,4.2,3.9
20101012,74.1,143.4,53.0,3.6,5.5
20101013,73.7,144.7,53.0,4.1,5.1
20101014,74.8,142.6,53.0,4.8,4.0
20101015,74.4,143.8,53.0,4.1,5.1
20101016,76.2,143.1,53.0,4.0,4.6
20101017,72.8,141.9,53.0,4.0,5.3
20101018,71.9,143.0,53.0,4.0,5.5
20101019,73.5,142.2,53.0,4.3,5.0
20101020,73.4,142.2,53.0,3.6,5.5
20101021,74.3,142.4,53.0,4.1,4.6
20101022,75.1,143.8,53.0,3.8,4.7
20101023,74.3,143.4,53.0,3.7,4.9
20101024,72.7,142.5,53.0,4.4,5.5
20101025,73.1,142.5,53.0,3.9,5.3
20101026,72.1,141.2,53.0,4.1,5.0
20101027,70.7,141.8,53.0,4.0,4.8
20101028,71.1,141.8,53.0,3.5,4.8
20101029,73.2,142.5,53.0,4.2,4.8
20101030,72.8,142.0,53.0,3.8,5.0
20101031,73.2,143.1,53.0,4.0,5.4
20101101,76.6,147.9,53.0,4.5,3.7
20101102,109.0,189.2,53.0,4.4,4.0
20101103,126.2,199.7,53.0,4.5,4.1
20101104,138.3,214.5,53.0,5.4,5.2
20101105,133.0,211.0,53.0,3.9,3.7
20101106,144.0,218.4,53.0,4.7,4.2
20101107,148.3,224.2,53.0,4.0,4.1
20101108,160.4,232.8,53.0,3.9,3.9
20101109,159.9,224.3,53.0,4.0,4.0
20101110,164.8,230.0,53.0,4.1,3.6
20101111,172.6,236.3,53.0,4.4,3.9
20101112,165.2,229.8,53.0,3.8,4.5
20101113,171.3,231.4,53.0,3.8,4.0
20101114,151.7,211.4,53.0,5.0,4.8
20101115,138.7,198.1,53.0,5.6,4.9
20101116,145.5,208.1,53.0,6.7,7.3
20101117,180.5,235.4,53.0,4.0,4.0
20101118,192.2,240.1,53.0,4.0,3.3
20101119,196.9,242.8,53.0,4.1,4.0
20101120,196.2,245.4,53.0,4.0,3.7
20101121,199.9,243.3,53.0,4.6,4.1
20101122,204.5,245.6,53.0,4.0,3.9
20101123,206.7,247.0,53.0,3.9,3.3
20101124,209.5,246.4,53.0,4.6,3.8
20101125,209.3,247.5,53.0,3.9,3.9
20101126,211.7,248.9,53.0,4.4,4.5
20101127,208.8,248.5,53.0,4.3,4.2
20101128,204.8,247.6,53.0,4.2,3.9
20101129,202.4,242.3,53.0,5.0,4.4
20101130,201.2,244.6,53.0,4.6,4.0
20101201,199.7,246.8,53.0,4.0,3.9
20101202,202.0,246.1,53.0,4.5,4.6
20101203,201.9,246.3,53.0,4.7,4.0
20101204,203.1,245.8,53.0,4.4,4.1
20101205,204.9,245.7,53.0,4.2,4.0
20101206,214.5,244.6,53.0,5.8,5.0
20101207,215.4,243.4,53.0,4.3,3.9
20101208,nan,nan,nan,nan,nan
20101209,216.1,247.7,53.0,4.0,4.0
20101210,219.1,249.6,53.0,4.4,3.6
20101211,220.9,250.5,53.0,4.2,3.8
20101212,215.6,247.2,53.0,4.5,4.1
20101213,210.5,245.8,53.0,3.8,4.0
20101214,213.5,248.6,53.0,3.6,3.6
20101215,210.2,243.8,53.0,4.7,4.0
20101216,212.7,246.3,53.0,4.0,3.4
20101217,217.7,250.3,53.0,5.1,4.6
20101218,212.9,250.6,53.0,4.9,4.1
20101219,220.4,249.4,53.0,4.0,4.0
20101220,223.2,251.4,53.0,4.1,4.1
20101221,226.3,253.6,53.0,3.7,3.6
20101222,223.7,252.5,53.0,4.8,4.2
20101223,224.1,251.0,53.0,4.0,4.1
20101224,225.5,251.9,53.0,4.2,3.7
20101225,nan,nan,nan,nan,nan
20101226,221.6,250.3,53.0,3.9,4.0
