Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,72.3,143.7,53.1,2.3,2.7
20101002,70.7,144.2,53.1,2.7,4.1
20101003,75.4,151.5,54.0,2.8,3.3
20101004,71.0,144.2,53.0,4.0,4.7
20101005,70.8,150.4,54.0,4.2,4.5
20101006,72.1,146.5,53.4,2.5,2.0
20101007,71.5,145.5,53.4,2.8,3.8
20101008,74.8,142.8,52.8,5.0,2.8
20101009,75.6,144.0,52.7,2.7,2.6
20101010,72.6,147.7,53.0,3.7,5.2
20101011,73.5,144.2,53.1,4.2,2.3
20101012,76.9,146.9,53.1,3.3,4.9
20101013,74.7,144.4,53.0,3.5,3.0
20101014,74.5,144.0,53.1,4.3,3.0
20101015,74.8,146.1,53.0,5.4,3.9
20101016,70.5,144.1,53.0,1.5,5.8
20101017,75.0,144.0,53.0,4.0,4.6
20101018,73.3,144.5,53.2,2.6,2.7
20101019,71.2,143.4,53.0,3.2,2.2
20101020,70.9,143.0,53.0,4.0,4.9
20101021,75.3,146.3,53.4,4.5,5.4
20101022,75.3,143.8,52.7,3.2,2.7
20101023,70.8,139.1,53.1,3.1,6.7
20101024,72.1,145.4,53.1,2.2,2.0
20101025,74.8,145.9,52.7,2.0,3.6
20101026,75.9,142.6,54.1,1.1,5.8
20101027,73.0,143.4,53.0,2.5,3.2
20101028,79.8,145.1,53.1,5.4,4.5
20101029,73.0,141.9,53.1,3.3,4.8
20101030,74.8,144.8,53.2,3.9,4.4
20101031,70.0,142.1,53.0,5.0,5.8
20101101,74.6,142.9,53.1,4.8,4.5
20101102,74.9,142.2,51.3,6.7,4.1
20101103,69.2,140.4,53.0,3.1,3.1
20101104,75.6,141.2,52.9,2.1,1.8
20101105,77.2,143.7,53.2,2.7,3.9
20101106,73.9,143.4,53.4,4.1,4.0
20101107,67.5,142.8,53.1,4.2,3.8
20101108,71.3,144.7,53.3,3.2,4.1
20101109,76.0,141.8,53.0,4.4,3.3
20101110,72.4,142.7,53.0,6.9,5.4
20101111,72.1,143.7,53.3,2.9,2.9
20101112,75.6,146.5,53.0,3.0,4.2
20101113,73.8,144.0,53.0,3.3,2.3
20101114,70.8,143.7,53.2,4.5,2.6
20101115,74.1,144.8,53.0,4.7,6.1
20101116,69.9,144.0,53.1,1.3,1.4
20101117,73.1,142.6,52.5,2.3,3.4
20101118,64.0,141.0,52.9,4.4,3.3
20101119,81.2,148.0,52.9,3.4,4.1
20101120,91.2,159.9,52.6,9.6,6.4
20101121,101.5,187.8,53.6,1.1,0.9
20101122,121.6,200.4,53.0,7.6,0.8
20101123,140.9,215.9,53.0,5.0,3.2
20101124,140.9,220.1,53.1,2.6,2.8
20101125,141.2,223.1,53.0,2.9,4.3
20101126,135.3,220.3,53.1,3.2,3.3
20101127,148.3,225.3,53.1,5.8,3.0
20101128,143.8,222.5,53.2,6.0,6.7
20101129,145.1,224.8,53.1,4.6,5.0
20101130,129.3,211.9,53.3,6.4,7.4
20101201,161.1,227.9,53.6,3.1,4.0
20101202,161.9,224.9,53.1,3.0,0.3
20101203,178.8,231.8,53.9,0.7,0.2
20101204,195.3,246.2,51.9,4.3,2.2
20101205,189.4,245.1,53.1,2.5,4.3
20101206,185.8,243.2,52.6,1.4,0.3
20101207,188.6,242.1,54.4,2.0,2.6
20101208,nan,nan,nan,nan,nan
20101209,189.2,243.8,52.9,3.0,2.7
20101210,200.8,247.0,53.0,2.7,2.0
20101211,197.3,246.8,53.0,2.9,3.1
20101212,207.5,244.7,53.3,4.1,2.1
20101213,215.6,247.3,53.3,6.2,1.9
20101214,211.9,251.7,53.2,3.8,1.4
20101215,220.4,254.9,52.2,3.4,2.7
20101216,222.7,250.7,53.7,7.9,1.5
20101217,221.4,254.7,52.3,4.2,1.6
20101218,221.4,254.0,53.1,4.2,3.0
20101219,218.4,255.6,52.4,1.7,3.7
20101220,223.0,254.8,53.5,1.0,0.7
20101221,222.2,253.3,53.0,3.3,3.9
20101222,216.4,253.6,53.1,4.3,1.9
20101223,221.4,252.1,53.0,4.0,3.1
20101224,225.0,253.1,53.1,6.3,2.9
20101225,225.7,251.9,53.0,4.7,4.7
20101226,232.3,257.4,53.1,4.4,3.3
