Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,72.2,145.8,53.0,3.4,3.4
20101002,70.0,143.4,53.1,3.6,4.2
20101003,69.8,141.9,52.9,3.0,6.9
20101004,74.9,146.5,53.0,4.6,3.8
20101005,71.0,141.9,53.0,2.9,3.4
20101006,73.1,145.7,53.1,3.3,3.7
20101007,75.0,143.8,53.1,3.0,3.1
20101008,72.1,145.0,53.1,2.7,3.7
20101009,72.5,144.2,53.1,3.0,4.8
20101010,69.5,144.0,53.5,2.8,4.4
20101011,73.5,146.2,53.0,2.3,5.5
20101012,77.1,149.0,53.1,4.1,2.8
20101013,77.0,145.2,52.8,3.8,4.1
20101014,77.8,148.5,53.0,3.0,4.3
20101015,71.5,143.6,53.0,3.0,3.9
20101016,73.2,144.4,53.3,3.6,3.4
20101017,76.0,143.9,53.0,5.2,3.4
20101018,73.8,143.9,52.8,3.8,3.6
20101019,73.5,144.8,53.3,3.3,4.6
20101020,75.7,143.8,53.1,3.9,2.1
20101021,70.4,145.0,53.1,6.3,5.3
20101022,79.1,150.6,53.0,3.5,4.7
20101023,83.6,154.1,53.2,3.8,4.5
20101024,101.0,182.4,53.1,5.2,3.9
20101025,108.6,185.7,52.9,3.7,4.1
20101026,103.2,182.1,53.2,3.3,5.1
20101027,110.7,190.8,53.0,4.9,6.5
20101028,143.1,213.9,53.2,5.1,4.6
20101029,165.5,234.3,53.2,4.9,3.4
20101030,159.3,225.1,52.9,9.2,6.2
20101031,153.9,219.9,52.9,4.2,4.4
20101101,160.9,227.0,53.1,5.9,4.5
20101102,173.2,234.9,53.2,4.5,2.7
20101103,177.8,238.0,53.1,4.7,3.9
20101104,190.8,246.5,52.7,4.3,3.7
20101105,195.9,248.4,52.9,5.0,2.4
20101106,190.4,244.2,53.0,4.9,5.1
20101107,187.4,244.7,53.1,5.7,3.6
20101108,190.1,243.2,52.8,5.5,3.2
20101109,189.7,243.8,53.0,3.4,3.8
20101110,199.4,240.8,52.8,5.4,2.5
20101111,198.4,244.8,53.0,5.7,3.9
20101112,196.2,242.8,53.0,7.1,3.1
20101113,205.5,247.8,53.3,3.9,4.1
20101114,213.4,249.9,53.4,5.2,2.4
20101115,215.3,250.4,53.1,3.0,2.3
20101116,219.2,252.5,52.6,5.9,4.6
20101117,221.2,251.3,53.0,3.8,4.8
20101118,219.2,251.7,52.4,3.1,3.1
20101119,216.8,251.3,53.1,4.6,4.3
20101120,210.6,246.4,53.2,5.9,3.6
20101121,211.8,247.0,53.1,4.8,4.8
20101122,216.5,250.2,52.9,5.7,2.8
20101123,215.8,247.7,53.0,4.2,3.8
20101124,211.6,248.6,53.0,3.3,1.8
20101125,209.4,245.1,52.9,2.8,2.6
20101126,207.7,244.9,53.1,4.3,4.2
20101127,209.9,250.0,52.8,3.5,4.8
20101128,208.1,247.1,53.1,5.0,3.4
20101129,211.3,249.8,53.0,3.7,3.6
20101130,212.4,244.5,53.0,3.7,3.1
20101201,212.6,247.7,52.7,4.0,5.0
20101202,207.1,246.4,53.2,3.0,3.0
20101203,214.1,247.8,53.1,3.9,2.7
20101204,216.7,252.8,53.1,6.0,3.2
20101205,217.8,249.9,53.0,4.3,3.9
20101206,217.1,249.9,52.8,4.0,2.4
20101207,215.5,253.1,53.2,5.7,3.9
20101208,nan,nan,nan,nan,nan
20101209,215.3,252.8,53.1,4.8,5.0
20101210,219.9,251.5,52.8,4.3,3.5
20101211,217.0,249.8,53.0,5.6,2.6
20101212,205.1,247.3,53.0,3.8,5.0
20101213,202.2,240.2,52.7,3.7,2.7
20101214,201.3,246.4,53.2,5.3,5.5
20101215,202.9,250.1,53.3,2.8,2.5
20101216,203.5,249.3,53.3,2.0,2.3
20101217,203.2,250.3,53.1,4.1,4.4
20101218,204.2,249.0,52.8,2.3,3.2
20101219,206.3,247.2,53.1,4.3,3.3
20101220,213.2,249.1,53.3,3.3,3.4
20101221,209.1,248.8,53.0,4.9,3.8
20101222,209.8,250.6,53.1,5.8,4.3
20101223,213.7,249.6,52.9,3.5,2.4
20101224,212.1,248.0,53.1,4.0,2.5
20101225,209.0,250.4,53.1,3.6,3.5
20101226,214.1,247.4,53.1,2.1,3.0
