Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,72.2,144.0,53.3,3.9,2.6
20101002,71.0,148.7,53.7,3.8,3.5
20101003,77.8,144.8,53.0,2.6,5.0
20101004,68.4,142.5,52.9,1.0,1.6
20101005,76.3,144.3,51.5,1.8,1.6
20101006,71.1,143.6,52.8,3.3,5.2
20101007,74.5,144.2,53.0,2.7,5.1
20101008,73.5,144.3,53.0,2.8,3.5
20101009,71.3,146.9,54.2,1.1,2.1
20101010,66.1,143.7,54.1,3.6,1.2
20101011,75.6,143.8,52.9,2.3,3.8
20101012,77.3,145.0,53.8,3.0,2.1
20101013,75.3,147.9,51.5,1.6,3.0
20101014,71.4,144.0,53.8,2.1,2.3
20101015,nan,nan,nan,nan,nan
20101016,76.1,142.8,53.6,5.8,2.4
20101017,72.1,144.7,54.0,2.3,2.6
20101018,75.3,141.4,51.6,2.0,2.2
20101019,74.0,146.2,53.6,3.7,4.8
20101020,nan,nan,nan,nan,nan
20101021,80.0,146.1,53.3,7.0,3.6
20101022,74.0,153.4,54.6,0.2,4.5
20101023,83.3,137.4,54.0,0.6,1.0
20101024,69.2,142.2,52.9,3.0,3.5
20101025,nan,nan,nan,nan,nan
20101026,77.4,141.9,53.1,1.8,6.2
20101027,nan,nan,nan,nan,nan
20101028,74.5,147.2,53.0,6.7,3.6
20101029,74.5,145.2,53.0,3.6,4.4
20101030,72.2,147.1,54.7,3.4,0.4
20101031,78.9,147.7,52.5,3.2,4.9
20101101,75.3,136.8,51.3,0.2,3.7
20101102,79.0,144.7,52.2,7.4,4.4
20101103,75.3,142.7,53.2,2.5,4.9
20101104,70.6,139.0,52.6,0.2,0.2
20101105,nan,nan,nan,nan,nan
20101106,74.1,148.6,52.9,1.9,3.0
20101107,75.4,138.0,52.6,9.6,4.3
20101108,78.3,142.1,53.2,2.6,3.8
20101109,73.9,147.5,53.9,3.0,2.2
20101110,72.1,145.3,53.1,4.3,4.1
20101111,73.9,145.3,52.8,2.6,2.6
20101112,77.3,147.6,53.0,2.5,3.1
20101113,77.8,140.7,53.1,2.1,3.6
20101114,73.4,140.1,52.3,2.1,2.1
20101115,68.0,147.7,52.8,4.8,0.8
20101116,72.6,144.9,53.0,2.0,3.6
20101117,74.7,139.4,53.0,7.3,8.3
20101118,nan,nan,nan,nan,nan
20101119,75.5,145.4,52.7,4.4,2.5
20101120,72.2,138.9,53.1,2.7,5.8
20101121,nan,nan,nan,nan,nan
20101122,nan,nan,nan,nan,nan
20101123,nan,nan,nan,nan,nan
20101124,75.3,142.5,53.0,3.7,3.6
20101125,nan,nan,nan,nan,nan
20101126,83.8,151.3,52.9,3.0,5.7
20101127,69.4,142.3,53.7,2.0,5.8
20101128,80.0,144.0,53.8,2.9,7.6
20101129,nan,nan,nan,nan,nan
20101130,nan,nan,nan,nan,nan
20101201,nan,nan,nan,nan,nan
20101202,72.6,146.6,53.0,2.6,2.5
20101203,84.6,157.1,53.2,4.9,3.5
20101204,114.7,190.8,54.0,3.5,2.8
20101205,nan,nan,nan,nan,nan
20101206,96.3,165.6,53.1,4.3,3.4
20101207,nan,nan,nan,nan,nan
20101208,112.1,200.6,53.9,1.8,2.4
20101209,119.1,196.4,53.0,4.8,2.3
20101210,nan,nan,nan,nan,nan
20101211,nan,nan,nan,nan,nan
20101212,122.3,198.2,53.1,6.5,3.7
20101213,121.9,201.9,54.8,1.6,2.2
20101214,148.0,201.4,52.1,4.3,1.5
20101215,160.9,227.0,53.8,3.2,4.1
20101216,nan,nan,nan,nan,nan
20101217,186.2,245.6,52.9,2.7,2.2
20101218,nan,nan,nan,nan,nan
20101219,189.7,244.5,54.5,0.5,0.9
20101220,180.3,245.3,53.0,5.2,3.1
20101221,182.7,248.3,53.2,7.4,3.2
20101222,177.9,245.7,53.0,4.5,2.9
20101223,178.2,237.1,53.1,4.1,4.3
20101224,180.5,240.2,53.1,4.1,2.8
20101225,193.5,244.6,53.0,4.0,3.4
20101226,209.1,251.0,53.0,3.4,4.4
