Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,72.5,147.1,53.0,3.1,3.1
20101002,70.4,142.7,53.3,2.4,3.7
20101003,70.9,142.7,52.7,2.9,5.6
20101004,74.4,146.7,53.1,4.4,3.8
20101005,69.5,140.8,52.5,1.9,3.4
20101006,72.4,146.9,53.1,3.4,4.2
20101007,74.2,142.5,52.8,3.1,3.7
20101008,71.6,143.9,53.1,2.1,3.8
20101009,72.7,143.1,52.8,2.3,3.2
20101010,65.7,147.5,55.0,0.0,0.0
20101011,72.8,146.6,53.0,2.3,5.5
20101012,76.4,149.4,53.3,4.0,2.8
20101013,75.9,145.6,53.1,2.9,4.2
20101014,77.7,149.2,53.0,3.3,3.0
20101015,71.3,143.3,53.0,2.9,4.0
20101016,73.7,144.2,53.2,3.3,3.0
20101017,76.2,144.6,53.1,5.6,3.5
20101018,73.1,144.5,53.1,3.9,3.0
20101019,73.6,145.4,53.1,2.7,3.9
20101020,73.2,144.8,54.0,3.0,0.9
20101021,72.3,144.8,52.9,5.1,5.0
20101022,80.4,150.4,53.0,4.2,5.7
20101023,86.7,150.7,52.6,2.7,5.9
20101024,102.1,184.5,53.1,4.2,3.6
20101025,108.1,185.6,52.7,3.5,4.0
20101026,104.4,184.0,53.2,2.9,3.9
20101027,113.2,194.8,53.1,3.2,3.7
20101028,143.2,213.9,53.0,5.3,4.9
20101029,165.9,235.0,53.1,4.6,3.6
20101030,154.2,222.1,53.0,4.4,4.4
20101031,154.0,219.6,53.0,4.6,4.2
20101101,163.0,226.8,53.1,5.1,4.7
20101102,169.3,235.3,54.2,3.1,0.5
20101103,178.3,238.7,53.0,4.5,4.5
20101104,190.6,247.9,52.9,3.7,3.9
20101105,195.7,248.3,52.8,5.9,2.8
20101106,190.9,244.4,53.0,6.6,5.2
20101107,188.0,243.2,52.9,5.9,3.4
20101108,190.4,244.2,52.8,5.1,3.0
20101109,190.5,245.0,53.1,3.3,3.8
20101110,198.8,241.0,52.8,5.3,3.0
20101111,200.3,246.6,52.9,4.0,3.7
20101112,197.5,242.3,53.2,5.8,2.9
20101113,205.3,248.6,52.9,4.1,3.9
20101114,215.5,250.8,53.1,4.1,2.4
20101115,215.1,251.2,53.1,3.1,2.1
20101116,217.9,253.2,52.7,4.6,5.0
20101117,221.3,251.4,53.3,2.9,3.9
20101118,218.9,251.4,52.4,3.4,3.2
20101119,216.3,251.6,53.3,4.1,3.9
20101120,208.8,240.2,53.1,3.7,4.2
20101121,212.0,247.8,53.1,4.3,4.9
20101122,218.2,250.4,52.5,5.0,2.9
20101123,215.8,247.7,52.8,4.1,4.1
20101124,213.1,248.3,53.0,2.3,1.5
20101125,209.2,244.1,53.1,2.1,3.0
20101126,207.7,246.8,53.4,3.9,3.1
20101127,209.8,248.2,53.2,3.3,4.8
20101128,207.2,247.2,53.1,5.0,3.1
20101129,211.9,252.0,53.0,3.2,2.7
20101130,211.5,243.2,52.9,3.7,3.1
20101201,212.4,247.7,52.7,3.9,4.6
20101202,206.3,246.5,53.0,3.0,2.9
20101203,217.0,247.8,52.7,2.2,1.5
20101204,217.2,252.7,52.8,5.5,3.1
20101205,217.8,249.7,53.1,4.4,4.2
20101206,216.6,249.9,52.8,4.0,2.8
20101207,214.7,252.8,53.2,4.9,3.5
20101208,215.2,245.8,52.7,4.4,3.6
20101209,218.1,256.3,51.8,3.4,6.0
20101210,220.3,251.6,53.0,4.4,3.5
20101211,215.8,250.3,53.2,5.5,2.1
20101212,205.7,248.3,53.0,3.7,4.6
20101213,202.0,240.7,53.0,4.0,2.6
20101214,201.5,246.8,53.0,4.4,5.5
20101215,201.8,249.2,53.1,2.3,2.5
20101216,204.1,249.6,52.7,0.4,3.5
20101217,202.6,251.4,53.2,4.0,4.2
20101218,203.9,249.6,52.5,1.7,3.2
20101219,206.0,247.2,53.1,4.5,3.3
20101220,214.4,249.0,53.2,2.9,3.4
20101221,207.5,249.2,53.2,4.7,4.0
20101222,210.7,252.3,52.9,5.3,4.0
20101223,213.8,249.5,53.0,3.1,2.5
20101224,211.6,248.1,53.1,4.1,2.2
20101225,208.7,251.6,53.1,3.5,3.8
20101226,213.1,247.5,53.1,2.2,2.7
