Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,75.0,147.7,53.0,2.4,5.5
20101002,70.4,145.7,52.9,2.7,3.0
20101003,77.0,147.2,52.9,4.8,4.1
20101004,72.9,140.6,52.3,0.4,3.1
20101005,70.7,144.9,53.4,5.0,2.8
20101006,78.9,142.9,52.7,1.6,1.3
20101007,71.0,143.6,52.9,2.5,2.3
20101008,79.3,147.9,53.0,1.9,2.8
20101009,70.3,143.0,52.9,2.4,3.9
20101010,71.6,144.5,52.9,1.2,2.0
20101011,82.8,157.9,52.4,0.4,0.5
20101012,90.6,175.4,53.0,3.4,3.8
20101013,82.4,150.5,53.1,3.7,1.8
20101014,80.6,145.9,52.6,1.6,3.1
20101015,72.2,148.3,53.0,2.2,3.3
20101016,73.9,149.0,52.9,3.5,2.0
20101017,73.5,145.0,53.2,1.9,2.4
20101018,73.0,144.1,53.1,3.5,3.3
20101019,77.9,149.0,53.1,6.3,6.4
20101020,74.8,152.7,52.5,2.4,2.8
20101021,88.0,162.1,52.9,6.6,8.8
20101022,94.0,173.1,53.1,2.4,0.0
20101023,95.8,176.8,53.8,1.6,0.3
20101024,119.1,191.1,53.1,4.2,0.6
20101025,98.2,179.5,53.8,0.0,0.0
20101026,106.8,181.3,53.0,3.0,4.6
20101027,119.8,194.2,53.1,9.7,8.0
20101028,141.1,214.8,53.3,3.9,3.8
20101029,178.7,238.7,52.1,0.0,0.0
20101030,131.7,203.0,53.0,6.0,5.7
20101031,140.2,208.3,52.5,3.2,1.9
20101101,152.7,216.2,52.9,0.9,2.6
20101102,156.9,226.0,52.9,6.2,3.9
20101103,169.1,235.6,53.2,2.8,1.7
20101104,182.2,235.3,52.7,3.0,1.5
20101105,206.6,243.6,52.3,0.2,2.9
20101106,192.2,246.4,53.1,2.2,3.5
20101107,200.5,251.8,53.8,0.0,0.0
20101108,199.8,251.0,52.8,3.8,3.0
20101109,192.0,244.4,52.8,4.4,3.1
20101110,199.1,249.2,53.0,4.5,3.1
20101111,190.9,243.4,52.5,2.1,2.2
20101112,203.8,254.4,53.0,3.2,1.3
20101113,210.8,252.6,53.0,2.5,3.0
20101114,208.7,253.4,52.6,1.4,1.5
20101115,203.2,254.4,53.1,4.1,3.7
20101116,206.9,252.6,52.3,0.7,0.7
20101117,205.4,253.9,52.9,3.2,1.7
20101118,205.9,251.6,53.3,1.9,2.5
20101119,204.8,250.9,52.9,4.0,1.8
20101120,203.2,249.1,53.0,2.7,2.3
20101121,196.8,249.6,52.9,7.9,3.9
20101122,205.2,251.5,52.8,5.1,3.5
20101123,203.2,248.3,53.6,4.6,1.5
20101124,199.8,250.2,52.6,1.8,2.2
20101125,197.5,247.8,52.9,0.9,3.9
20101126,201.9,250.2,53.0,3.3,1.7
20101127,199.7,249.4,53.8,0.0,0.0
20101128,208.8,247.4,53.0,2.9,2.5
20101129,211.8,249.0,52.8,1.2,3.6
20101130,209.5,251.8,53.2,2.3,3.9
20101201,207.4,242.8,53.1,1.6,1.1
20101202,204.2,246.2,52.4,3.8,3.5
20101203,206.1,243.2,52.1,0.0,0.0
20101204,206.3,250.1,53.1,2.5,1.6
20101205,207.8,246.1,53.9,0.0,0.0
20101206,214.6,251.5,52.9,2.8,3.6
20101207,212.5,248.6,53.0,3.0,3.2
20101208,212.7,252.1,53.0,2.4,1.7
20101209,212.0,252.8,53.5,2.6,1.5
20101210,211.6,251.0,52.9,2.6,3.8
20101211,213.4,251.8,53.1,2.8,3.2
20101212,214.2,251.4,52.9,2.8,4.2
20101213,208.1,247.2,53.0,3.6,3.5
20101214,212.6,250.5,53.4,3.3,3.2
20101215,208.3,256.3,53.8,3.6,1.8
20101216,202.0,250.0,53.5,4.4,0.6
20101217,209.7,253.3,53.6,0.9,0.5
20101218,203.7,249.7,53.6,1.3,0.4
20101219,209.9,252.1,53.1,2.3,4.4
20101220,213.9,250.5,52.9,3.4,3.1
20101221,217.3,253.2,53.1,2.6,3.5
20101222,226.5,256.6,53.1,0.9,1.9
20101223,222.7,254.2,53.1,3.0,2.5
20101224,234.3,256.8,52.9,3.0,4.5
20101225,225.5,253.3,52.7,4.7,5.9
20101226,225.4,255.3,53.0,4.1,2.8
