Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,75.8,145.3,52.4,2.5,5.7
20101002,72.1,145.9,53.1,3.0,4.3
20101003,75.9,147.3,53.0,4.4,3.8
20101004,75.5,142.6,51.7,2.4,2.7
20101005,72.3,144.0,53.1,6.0,3.4
20101006,75.5,142.8,52.4,3.6,2.3
20101007,72.0,143.5,52.7,2.7,2.6
20101008,78.5,145.4,53.1,2.4,3.9
20101009,70.3,142.1,52.6,2.5,3.8
20101010,71.5,146.3,53.4,1.4,3.0
20101011,80.2,160.1,52.4,5.1,3.1
20101012,90.4,174.1,52.8,3.0,4.0
20101013,81.1,149.9,53.1,4.4,3.3
20101014,80.3,146.3,52.2,1.7,3.0
20101015,71.8,147.7,53.0,3.0,4.4
20101016,75.4,146.2,52.6,4.3,5.2
20101017,73.6,145.0,53.2,2.0,3.0
20101018,73.8,144.9,53.2,3.7,4.4
20101019,78.8,147.6,52.9,6.0,6.7
20101020,74.8,149.8,52.3,2.0,3.5
20101021,87.7,159.6,52.6,7.8,9.4
20101022,94.0,173.1,53.1,2.4,0.0
20101023,97.6,176.9,53.5,4.9,3.9
20101024,116.2,189.2,52.6,5.5,7.7
20101025,102.6,180.2,52.6,4.3,2.1
20101026,106.3,181.7,53.3,3.3,3.6
20101027,117.8,192.1,52.9,10.8,9.5
20101028,139.7,216.5,53.7,5.4,5.8
20101029,169.4,235.3,52.1,5.3,6.6
20101030,131.7,203.2,53.0,5.6,5.2
20101031,139.0,208.9,52.5,4.2,3.1
20101101,149.5,215.4,53.0,5.8,2.6
20101102,157.8,227.2,53.0,5.9,4.1
20101103,171.5,235.3,52.7,4.8,4.3
20101104,186.0,238.3,52.8,6.5,3.7
20101105,204.0,248.2,52.5,3.7,3.8
20101106,193.7,245.3,52.6,2.7,3.4
20101107,198.2,250.8,52.4,1.5,2.0
20101108,202.0,248.9,52.5,6.5,3.6
20101109,193.0,244.9,52.5,4.1,3.1
20101110,198.2,248.4,52.9,4.6,4.1
20101111,191.5,243.3,52.0,2.1,2.2
20101112,205.1,252.2,52.9,4.2,2.8
20101113,210.6,253.3,53.2,2.3,3.7
20101114,208.4,253.0,52.0,1.2,2.2
20101115,201.9,254.4,53.2,4.6,4.2
20101116,207.4,251.6,51.8,3.5,2.7
20101117,206.4,253.8,52.6,4.4,2.5
20101118,208.5,251.1,53.2,3.4,2.8
20101119,204.4,251.1,52.4,3.7,1.5
20101120,202.1,249.7,53.1,4.1,2.5
20101121,197.6,248.8,53.1,6.3,3.8
20101122,205.2,251.5,52.8,5.1,3.5
20101123,200.3,249.5,53.5,4.3,2.5
20101124,200.3,249.7,52.3,2.0,2.2
20101125,196.3,247.7,52.9,2.2,3.3
20101126,202.2,249.1,52.7,2.9,2.9
20101127,200.2,249.1,53.7,3.6,0.9
20101128,207.4,248.1,53.2,4.7,4.3
20101129,211.5,248.0,52.3,1.4,3.4
20101130,208.9,253.3,53.5,2.3,4.1
20101201,206.9,244.3,53.2,2.6,1.9
20101202,202.4,243.8,52.3,3.6,4.1
20101203,204.7,247.6,53.3,3.3,6.2
20101204,206.3,250.1,53.1,2.5,1.6
20101205,209.8,246.0,53.1,5.8,1.4
20101206,214.3,250.5,52.8,2.6,4.0
20101207,213.5,250.5,52.6,2.8,3.5
20101208,212.6,252.8,53.1,2.6,2.7
20101209,212.0,252.8,53.5,2.6,1.5
20101210,211.5,252.2,52.8,2.7,3.7
20101211,212.8,253.8,53.2,3.3,3.6
20101212,214.2,251.7,52.7,2.5,4.0
20101213,207.5,247.8,53.0,4.5,3.3
20101214,213.6,250.9,52.9,4.4,3.1
20101215,207.8,256.4,53.9,3.2,1.6
20101216,202.9,250.9,53.6,4.1,1.6
20101217,210.6,255.0,52.0,2.7,3.5
20101218,203.7,249.7,53.6,1.3,0.4
20101219,210.4,252.5,53.0,2.5,3.5
20101220,214.9,250.7,52.8,4.2,2.8
20101221,217.9,255.3,53.2,3.2,5.8
20101222,227.6,255.1,52.7,1.4,2.6
20101223,225.1,253.8,53.0,3.5,2.4
20101224,231.4,256.2,52.9,3.4,3.8
20101225,226.5,252.5,52.3,4.3,5.0
20101226,225.6,254.8,53.0,4.2,4.1
