Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,72.0,144.7,53.0,3.4,2.6
20101002,74.9,145.4,53.2,4.3,4.9
20101003,74.8,144.6,52.8,4.5,4.0
20101004,70.0,143.3,53.0,3.6,2.4
20101005,76.7,144.2,51.5,1.6,1.7
20101006,72.3,141.6,53.0,3.8,5.7
20101007,72.5,143.3,53.0,2.6,3.9
20101008,74.6,145.7,53.2,3.7,5.4
20101009,73.0,144.3,52.9,2.3,4.1
20101010,71.6,144.6,52.9,4.2,2.6
20101011,75.0,142.9,53.1,2.5,3.6
20101012,74.4,143.2,53.1,4.9,5.2
20101013,75.6,152.0,52.7,8.6,12.0
20101014,73.1,144.8,53.0,2.3,7.2
20101015,75.8,143.4,53.0,6.0,4.9
20101016,77.3,146.2,53.2,6.9,6.5
20101017,71.8,142.8,53.1,4.3,4.4
20101018,69.6,135.2,51.6,2.0,2.1
20101019,72.7,146.2,53.2,3.5,3.9
20101020,75.5,141.8,52.4,4.6,2.2
20101021,79.5,145.9,53.3,6.0,3.5
20101022,74.4,146.9,53.7,3.7,6.9
20101023,83.8,136.4,54.0,0.2,0.9
20101024,71.6,145.1,53.1,6.2,4.1
20101025,71.7,140.4,53.1,5.0,5.1
20101026,76.1,142.2,53.1,2.0,6.1
20101027,68.8,139.9,53.1,2.3,3.4
20101028,75.7,146.6,53.0,6.6,3.5
20101029,74.0,146.3,53.1,3.7,4.6
20101030,71.7,142.9,53.1,4.9,4.7
20101031,76.9,146.0,52.5,6.1,6.4
20101101,73.2,143.0,53.0,2.2,4.3
20101102,76.3,144.2,53.1,5.7,4.2
20101103,73.2,143.3,53.2,2.3,5.3
20101104,71.3,141.9,52.9,2.2,3.2
20101105,nan,nan,nan,nan,nan
20101106,74.6,147.9,53.0,2.2,2.6
20101107,74.5,139.0,53.0,6.0,8.4
20101108,77.0,141.8,53.2,1.8,3.5
20101109,73.7,144.0,53.0,3.6,4.8
20101110,70.9,144.9,53.1,4.1,4.6
20101111,73.4,145.1,53.1,3.2,2.3
20101112,77.7,145.4,53.0,3.0,4.1
20101113,76.6,141.6,53.1,2.2,3.7
20101114,74.2,140.3,52.5,1.8,1.6
20101115,65.9,142.2,53.0,6.8,4.9
20101116,71.7,144.4,53.0,1.8,3.7
20101117,74.6,139.5,52.8,5.7,6.6
20101118,nan,nan,nan,nan,nan
20101119,75.4,145.1,53.0,4.5,2.1
20101120,73.6,140.8,53.4,4.3,6.4
20101121,nan,nan,nan,nan,nan
20101122,75.8,140.7,52.2,3.8,5.1
20101123,nan,nan,nan,nan,nan
20101124,74.6,144.5,53.0,3.2,3.8
20101125,73.1,143.6,53.0,2.9,3.5
20101126,82.5,151.0,52.9,3.1,5.4
20101127,73.2,144.5,53.1,4.4,7.5
20101128,79.2,142.6,53.0,3.3,7.1
20101129,83.7,155.4,53.0,1.6,3.5
20101130,79.6,152.4,53.0,3.5,8.4
20101201,nan,nan,nan,nan,nan
20101202,74.4,148.2,53.4,3.1,4.7
20101203,85.6,156.1,53.2,4.7,3.5
20101204,114.1,190.0,54.0,3.2,2.9
20101205,117.6,189.8,53.2,4.8,3.4
20101206,92.2,165.8,53.1,4.5,3.4
20101207,102.1,180.2,53.1,3.8,4.0
20101208,nan,nan,nan,nan,nan
20101209,118.0,195.6,53.0,4.8,2.2
20101210,132.8,214.5,52.9,1.8,5.8
20101211,nan,nan,nan,nan,nan
20101212,118.3,191.1,53.0,7.0,6.9
20101213,134.9,201.6,53.3,10.7,9.3
20101214,146.2,201.1,52.1,4.6,1.5
20101215,163.1,229.6,53.7,3.7,4.9
20101216,nan,nan,nan,nan,nan
20101217,187.3,246.0,53.1,3.7,3.1
20101218,188.2,246.7,52.7,4.4,3.9
20101219,188.8,244.4,54.5,0.7,0.8
20101220,181.8,245.7,53.2,4.2,2.6
20101221,183.5,247.3,53.2,7.3,3.2
20101222,177.3,245.0,53.0,4.4,2.8
20101223,178.6,238.8,53.1,3.6,3.6
20101224,177.2,240.8,53.1,4.4,3.0
20101225,196.0,245.0,53.1,3.7,2.7
20101226,209.2,250.6,53.0,3.4,3.8
