Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,73.0,143.5,53.0,4.1,5.6
20101002,72.8,141.7,53.0,4.4,5.4
20101003,72.2,143.1,53.0,4.3,5.8
20101004,72.8,143.8,53.0,4.1,5.4
20101005,75.0,142.8,53.0,5.0,5.6
20101006,71.8,142.6,53.0,4.3,5.4
20101007,75.0,143.3,53.0,4.3,6.1
20101008,73.4,141.9,53.0,4.2,4.0
20101009,74.1,142.5,53.0,3.8,5.1
20101010,71.9,142.6,53.0,3.9,5.1
20101011,73.4,143.2,53.0,4.4,5.5
20101012,73.2,143.6,53.0,4.0,5.9
20101013,73.3,143.8,53.0,4.4,5.2
20101014,76.0,144.3,53.0,4.0,5.3
20101015,74.0,142.8,53.0,4.4,5.4
20101016,73.7,143.2,53.0,4.2,6.1
20101017,74.6,142.1,53.0,4.2,5.2
20101018,72.4,143.3,53.0,4.0,5.8
20101019,74.0,141.9,53.0,4.2,5.4
20101020,75.7,140.8,53.0,4.8,5.3
20101021,73.3,143.3,53.0,4.3,6.4
20101022,76.9,143.9,53.0,4.2,5.4
20101023,77.6,145.9,53.0,4.1,5.7
20101024,76.0,143.6,53.0,4.7,5.2
20101025,75.1,143.1,53.0,4.2,5.3
20101026,71.3,141.6,53.0,4.2,4.1
20101027,73.8,142.5,53.0,4.4,5.5
20101028,75.3,143.4,53.0,4.6,5.5
20101029,74.6,143.7,53.0,4.5,5.6
20101030,75.5,142.8,53.0,4.2,5.5
20101031,72.9,143.7,53.0,3.8,6.0
20101101,74.1,145.1,53.0,4.0,6.7
20101102,96.9,176.8,53.0,5.1,5.2
20101103,122.8,201.8,53.0,5.2,4.4
20101104,136.3,209.5,53.0,4.6,4.3
20101105,139.0,207.3,53.0,5.0,4.9
20101106,151.3,220.1,53.0,5.1,4.5
20101107,160.5,228.4,53.0,5.4,4.5
20101108,156.9,222.0,53.0,4.5,4.4
20101109,155.7,216.7,53.0,5.6,5.2
20101110,113.5,179.7,53.0,5.5,5.2
20101111,135.2,203.1,53.0,4.2,5.1
20101112,109.0,176.1,53.0,4.9,6.1
20101113,119.4,188.9,53.0,4.8,4.9
20101114,144.9,210.0,53.0,4.4,4.4
20101115,141.2,208.3,53.0,5.7,5.1
20101116,120.5,188.6,53.0,4.6,4.5
20101117,122.5,190.5,53.0,4.7,5.8
20101118,142.9,206.1,53.0,4.7,4.5
20101119,177.2,234.1,53.0,4.7,4.1
20101120,178.8,233.7,53.0,4.3,4.0
20101121,179.1,235.2,53.0,4.6,4.2
20101122,186.7,240.6,53.0,4.0,4.2
20101123,189.0,242.7,53.0,4.2,3.9
20101124,189.1,242.9,53.0,4.3,3.9
20101125,193.8,243.2,53.0,4.4,4.1
20101126,186.1,240.5,53.0,4.2,3.6
20101127,191.1,242.2,53.0,4.3,4.6
20101128,190.0,241.1,53.0,4.7,4.4
20101129,189.5,238.5,53.0,4.5,4.6
20101130,196.3,240.0,53.0,4.7,4.5
20101201,205.4,243.7,53.0,4.9,4.5
20101202,210.8,247.0,53.0,4.2,4.2
20101203,206.8,247.2,53.0,4.5,4.2
20101204,208.3,246.9,53.0,4.7,4.0
20101205,210.5,246.7,53.0,4.2,4.2
20101206,210.9,245.4,53.0,4.1,4.0
20101207,215.9,246.2,53.0,4.4,4.3
20101208,nan,nan,nan,nan,nan
20101209,219.9,248.2,53.0,4.8,4.0
20101210,219.4,250.2,53.0,4.0,4.0
20101211,221.0,249.6,53.0,4.0,4.0
20101212,222.2,249.1,53.0,5.2,3.9
20101213,224.1,250.3,53.0,4.4,4.3
20101214,227.4,252.0,53.0,4.4,4.1
20101215,227.3,250.7,53.0,4.1,4.1
20101216,226.4,250.7,53.0,4.1,3.9
20101217,223.6,251.0,53.0,4.4,4.3
20101218,222.9,250.4,53.0,4.2,3.9
20101219,228.2,252.5,53.0,4.6,4.1
20101220,229.0,251.4,53.0,4.1,4.1
20101221,229.2,253.0,53.0,4.8,4.6
20101222,227.4,251.6,53.0,4.2,4.0
20101223,229.0,250.6,53.0,4.2,3.8
20101224,226.3,249.1,53.0,4.3,3.9
20101225,nan,nan,nan,nan,nan
20101226,228.3,248.5,53.0,4.1,3.8
