
20101001,174.2,233.7,53.2,6.2,3.2

20101002,195.1,247.9,53.3,5.3,4.3

20101002,132.3,205.5,52.8,2.9,4.9

20101003,188.3,250.7,53.0,3.0,3.8

20101003,144.4,206.5,53.1,3.8,5.0

20101003,164.5,248.8,54.8,0.0,0.0

20101004,180.0,252.2,52.5,2.0,3.8

20101004,185.3,245.6,52.9,2.3,3.2

20101004,120.7,196.1,54.5,2.8,1.3

20101005,182.9,237.0,52.4,0.2,6.4

20101006,nan,nan,nan,nan,nan

20101006,202.1,245.5,53.1,3.7,2.7

20101006,153.1,222.4,52.3,2.6,1.7

20101006,168.6,243.3,52.5,0.6,0.4

20101007,201.1,240.5,52.9,5.0,3.2

20101007,136.9,220.2,53.3,4.1,1.5

20101007,156.7,231.6,53.2,2.3,2.9

20101008,203.4,247.3,53.7,4.2,2.6

20101008,148.5,216.5,53.0,6.8,4.4

20101008,183.6,243.1,52.6,2.3,0.2

20101008,119.1,207.3,53.0,1.8,3.4

20101009,124.8,199.4,51.3,0.0,0.0

20101010,123.8,208.4,52.8,4.0,3.6

20101017,nan,nan,nan,nan,nan

20101017,172.9,238.9,52.8,5.1,2.9

20101018,190.2,243.7,54.3,1.3,0.6

20101018,183.2,248.6,52.9,4.7,4.2

20101018,156.7,231.7,52.8,4.1,3.0

20101019,159.6,233.0,52.2,4.7,2.9

20101019,205.6,249.9,53.5,4.0,1.1

20101019,185.3,241.8,52.8,5.8,4.9

20101020,156.6,242.4,54.9,0.0,0.0

20101031,nan,nan,nan,nan,nan

20101031,147.5,217.6,52.9,4.8,4.3

20101031,189.6,245.9,53.1,4.7,0.9

20101101,205.6,254.2,53.8,1.1,0.9

20101101,158.8,211.4,53.2,4.9,4.9

20101101,170.9,234.1,52.8,3.3,4.1

20101101,195.2,242.5,52.3,5.0,5.8

20101101,191.5,250.8,51.9,2.1,2.6

20101102,181.2,231.6,53.0,3.5,1.7

20101102,174.8,237.9,53.0,4.5,4.8

20101102,198.2,249.9,53.9,3.3,3.9

20101102,203.5,249.4,52.7,6.0,2.6

20101102,209.7,249.8,54.3,2.5,0.3

20101102,177.8,245.4,52.9,6.4,2.2

20101102,205.6,255.7,53.3,3.7,1.9

20101103,193.4,238.5,53.0,4.3,2.8

20101103,171.0,239.8,52.2,2.1,1.8

20101103,193.6,246.4,53.1,2.5,1.9

20101103,200.0,250.4,52.6,3.2,2.5

20101103,166.0,243.8,54.0,1.4,5.1

20101104,172.0,243.6,53.2,3.9,5.7

20101105,174.8,246.1,53.7,2.1,5.2

20101105,nan,nan,nan,nan,nan

20101105,197.3,247.2,52.4,4.2,3.2

20101106,193.8,246.7,53.0,4.9,4.8

20101106,213.1,251.3,52.5,3.9,4.0

20101106,182.0,243.1,53.9,5.0,1.9

20101106,nan,nan,nan,nan,nan

20101107,186.9,248.8,53.0,3.3,5.9

20101107,161.3,239.1,52.9,2.0,3.3

20101107,207.8,250.1,53.5,4.5,4.1

20101107,206.1,253.8,52.7,3.6,3.4

20101108,194.6,247.7,52.7,3.8,5.4

20101108,213.6,252.0,52.7,3.2,3.5

20101108,190.0,246.3,53.0,6.0,2.7

20101108,167.7,246.7,52.8,4.1,3.1

20101108,165.3,235.5,53.0,6.2,3.0

20101108,161.2,237.4,52.7,3.6,4.3

20101108,150.0,232.5,52.8,3.3,4.6

20101108,206.3,255.5,53.0,2.3,1.9

20101108,217.7,256.8,51.4,1.2,3.7

20101108,212.5,252.6,52.0,0.8,0.0

20101109,207.4,249.7,53.0,9.1,3.9

20101109,209.2,247.9,52.7,3.3,1.0

20101109,224.5,257.3,52.8,4.0,5.3

20101109,233.4,259.1,53.4,2.8,4.1

20101110,201.5,246.0,51.9,3.5,5.1

20101110,nan,nan,nan,nan,nan

20101110,221.1,250.2,52.7,1.1,0.3

20101110,236.4,256.2,51.5,4.2,7.0

20101110,170.6,231.5,53.1,4.2,2.4

20101110,160.2,228.0,53.0,2.6,3.2

20101110,144.7,225.4,53.1,4.6,4.0

20101110,187.8,238.3,53.0,4.8,6.7

20101110,184.1,239.7,52.6,2.7,3.7

20101110,202.8,249.2,53.1,4.7,2.0

20101111,195.7,240.0,54.4,1.3,1.4

20101111,214.4,249.8,53.0,4.3,3.7

20101111,220.3,254.1,53.2,3.0,5.2

20101111,237.1,257.1,53.1,3.3,4.8

20101112,nan,nan,nan,nan,nan

20101113,nan,nan,nan,nan,nan

20101114,nan,nan,nan,nan,nan

20101114,216.5,254.3,52.8,3.1,3.8

20101114,214.7,253.6,51.3,0.5,0.3

20101114,219.4,252.6,52.1,0.5,0.6

20101115,198.2,243.5,53.0,4.1,3.1

20101115,212.4,248.4,53.0,3.5,4.5

20101115,214.5,253.4,53.1,4.3,3.1

20101115,208.7,247.2,53.0,5.3,1.1

20101115,201.5,249.1,52.4,2.8,4.2

20101115,219.1,253.3,52.6,1.5,0.6

20101116,204.2,245.4,51.2,0.0,0.0

20101116,nan,nan,nan,nan,nan

20101116,208.8,260.0,55.0,0.0,0.0

20101116,202.6,245.3,53.5,2.2,4.9

20101116,198.5,250.8,53.1,0.8,2.3

20101116,nan,nan,nan,nan,nan

20101116,221.5,259.7,52.6,2.5,3.9

20101116,210.6,256.3,53.2,1.9,4.3

20101116,219.6,255.2,53.0,4.5,2.8

20101116,218.7,255.7,53.1,3.4,3.1

